asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B085GV73MC,"Enfamil Enspire Baby Formula with Immune-Supporting Lactoferrin, Brain Building DHA, Our Closest Formula to Breast Milk, Refill Boxes, 30 Oz (Pack of 4)",https://m.media-amazon.com/images/I/51m2K29M1oL._AC_.jpg,4.9,999 ratings," BRAIN BUILDING and IMMUNE SUPPORT: DHA has been shown to support brain development and Lactoferrin is a protein found in Colostrum that supports the immune system  , DUAL PREBIOTICS: Proprietary blend of Dual Prebiotics designed to support the immune system, and clinically proven to promote digestive health  , RECOMMENDED BY PEDIATRICIANS: Enfamil is the Infant Formula brand recommended by pediatricians  , NON-GMO: Enspire is a non-GMO baby formula that is designed to provide complete nutrition for babies through 12 months  , SNAP ELIGIBLE: Eligible to be purchased with Supplemental Nutrition Assistance Program (SNAP) benefits  , SUBSCRIBE and SAVE: Choose Subscribe and Save for additional savings and convenience  ","Brand: Enfamil,Size: 15 Ounce (Pack of 8),Item Weight: 9.54 Pounds,Item Form: Powder,Age Range (Description): Baby,Infant"," Style: , 30oz Powder Refill 4 Pack ","
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                Formula
            ,
                 Powder Baby Formula
             "
B07L9ZWPNC,"Gerber Baby Food 2nd Foods Variety Pack, Fruit & Veggie Puree Favorites, 8 Ounce Tubs, 2-Pack (Pack of 16)",https://m.media-amazon.com/images/I/51-NLczjYJL.jpg,4.8,"6,553 ratings"," Growing nutrition: Our 2nd foods baby food recipes help expose babies to a variety of tastes & ingredients, which is important to help them accept new flavors. It's the perfect food for growing bodies  , Fruit & veggie variety pack: Made with natural fruit & veggies & featuring age appropriate texture & nutrition, this variety pack contains no added sweeteners, salts or starches & no artificial flavors or colors.  , Pureed goodness: Introduce your little 1 to the goodness of fruits, veggies & other wholesome ingredients. Our baby food is lovingly made & quality tested before its good enough to be called Gerber.  , Gerber goodness: Our foods start with whole ingredients like real fruits, veggies, & grains to help nourish your baby right from the start, from infant formula to baby food to snacks & toddler food.  , Nutrition for growing: Like your baby, we're always growing & learning. More than ever we're committed to being your partner in parenthood with quality ingredients, nutritious food & expert guidance.  ",,,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                 Meals
             "
B073WZ8MWP,"Plum Organics Baby Food Pouch | Mighty Veggie | Variety Pack | 4 Ounce | 18 Pack | Organic Food Squeeze for Babies, Kids, Toddlers",https://m.media-amazon.com/images/I/51NnXwYceNL.jpg,4.7,"2,261 ratings"," ORGANIC BABY FOOD: Made with non-GMO, and organic fruits and veggies in baby-friendly blends. Plus, they're unsalted, unsweetened, and kosher parve.  , GREAT BLENDS OF FRUITS, VEGGIES and GRAINS: Mighty Veggie Carrot, Pear, Pomegranate and Oats; Mighty Veggie Spinach, Grape, Apple and Amaranth; Mighty Veggie Zucchini, Apple, Watermelon and Barley are fun, yummy, and real - a favorite to fuel your active tot.  , RESEALABLE POUCHES ARE EASY TO USE: Non-BPA, child-safe, and with a recyclable cap, our pouches can serve as much yummy, nutritious food as baby needs at home or on-the-go.  , WE'RE A B CORP: At Plum Organics, we're committed to our customers and our planet, and are focused on sustainable product design and safe ingredient sourcing.  , VARIETY PACK OF 18 POUCHES: Ships as a pack of 18 4-ounce pouches (includes 6 pouches each of Mighty Veggie Carrot, Pear, Pomegranate and Oats; Mighty Veggie Spinach, Grape, Apple and Amaranth; Mighty Veggie Zucchini, Apple, Watermelon and Barley )  ","Brand: Plum Organics,Weight: 4 Ounces,Size: 1 Pound (Pack of 3)",,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                 Meals
             "
B00XCLFZZE,"Happy Baby Organics Yogis Freeze-Dried Yogurt & Fruit Snacks, 3 Flavor Variety Pack, 1 Ounce (Pack of 3)",https://m.media-amazon.com/images/I/51tdAk2EjhL.jpg,4.7,"5,946 ratings"," Sweet Yogi: Little drops of goodness Made with wholesome yogurt and organic fruit, Happy Baby Yogis are melt-in-your-mouth, freeze-dried yogurt drops that provide babies and toddlers with a delicious baby or toddler snack that you can feel good about  , Organic Snacks For Baby: Happy Baby goes beyond baby food with delicious, Superfood Puffs and freeze-dried yogurt snacks Babies may be ready for our delicious snacks when they can crawl on their hands and knees, without their tummy touching the ground  , Happy Baby: We provide organic, delicious options for your baby's nutritional journey; Happy Baby offers baby food pouches, organic cereals, teething wafers, baby snacks and more made for your little one  , Happy Family Organics: We are on a mission to change the trajectory of children's health through nutrition; We provide age and stage appropriate premium organic food products for baby, tot, kid, and mama  , Our Happy Promise: All products are certified USDA organic, made with non-GMO ingredients grown without the use of toxic persistent pesticides and in packaging made without BPA, BPS, or phthalates  ",,,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                 Meals
             "
B00G6E6EFO,"Happy Tot Organics Stage 4 Super Morning Organics Bananas Blueberries Yogurt & Oats + Super Chia, 4 Ounce Pouch (Pack of 8) packaging may vary",https://m.media-amazon.com/images/I/51SZAUguaqL.jpg,4.7,"3,502 ratings"," Super Morning Meals: Hello, sunshine! Enjoy a breezy morning routine with these tasty breakfast blends Each pouch offers 3g of Fiber, omega 3s (courtesy of Chia seeds), organic fruits, whole milk yogurt & whole grain oats—perfect for starting their day  , Stage Four Eaters: The most important aspect of food for the toddler years is the quality–the types of carbs, Protein, and fat, as well as the vitamins and minerals, in the foods you feed your baby & Happy Tot's Stage 4 foods are great for picky eaters!  , Happy Tot: Our trusted, organic toddler pouches, snacks and mealtime solutions offer nutrition your little one needs - like fiber, protein, veggies and more – in flavors even picky eaters will love  , Happy Family Organics: We are on a mission to change the trajectory of children's health through nutrition; We provide age and stage appropriate premium organic food products for baby, tot, kid, and mama  , Our Happy Promise: All products are certified USDA organic, made with non-GMO ingredients grown without the use of toxic persistent pesticides and in packaging made without BPA, BPS, or phthalates  ","Brand: Happy Baby,Flavor: Bananas Blueberries Yogurt & Oats,Item Form: Baby-food-cereal,Sub Brand: Happy Baby,Weight: 2 Pounds",,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                 Meals
             "
B00JGPG60I,"Enfamil Reguline Baby Formula, Designed for Soft, Comfortable Stools, with Omega-3 DHA & Probiotics for Immune Support, Reusable Powder Tub, 19.5 Oz",https://m.media-amazon.com/images/I/514Nf3uK7pL._AC_.jpg,4.8,"2,947 ratings"," CONSTIPATION RELIEF: Reguline baby formula contains easy to digest proteins and prebiotic blend proven to promote soft, comfortable stools within the first week of use  , COMPLETE NUTRITION: Gentle formula tailored for your baby through their first 12 months  , SUPPORTS BRAIN & IMMUNE SUPPORT: Has omega 3 DHA and Choline for brain support, prebiotics and vitamins for immune support, and 30 total nutrients to complement the diet  , RECOMMENDED BY PEDIATRICIANS: Enfamil is the Infant Formula brand recommended by pediatricians  , SNAP ELIGIBLE: Eligible to be purchased with Supplemental Nutrition Assistance Program (SNAP) benefits  ","Brand: Enfamil,Size: 20.4 Ounce (Pack of 1),Item Weight: 20.4 Ounces,Item Form: Powder,Age Range (Description): Baby",,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                Formula
            ,
                 Powder Baby Formula
             "
B079Y7VH1Y,"Pedialyte AdvancedCare Pedialyte AdvancedCare Plus Electrolyte Drink with 33% More Electrolytes and Has PreActiv Prebiotics, Iced Grape, 1 Liter, 4 Count",https://m.media-amazon.com/images/I/51VZaVpNGHL._AC_.jpg,4.8,"6,997 ratings"," Pedialyte Advanced Care Plus is specially formulated for higher electrolyte loss and contains 33% more electrolytes in every liter to replace more of what you've lost due to dehydration (60 mEq sodium electrolytes per liter vs 45 mEq in original Pedialyte)  , Pedialyte Advanced Care Plus Electrolyte Solution also includes PreActiv Prebiotics to help support digestive health  , From the pharmacist and pediatrician recommended brand for hydration, Pedialyte quickly replenishes fluids, zinc and electrolytes, which when lost, can lead to dehydration  , An electrolyte drink that helps prevent mild to moderate dehydration more effectively than sports drinks, juice or water  , Great for kids and adults to rehydrate and feel better fast  ","Brand: Pedialyte,Flavor: Iced Grape,Package Information: Bottle,Item Volume: 1 Liters,Item Weight: 9.78 Pounds",,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                Beverages
            ,
                 Electrolyte Drinks
             "
B079VPP9MW,"Enfamil Gentlease Baby Formula, Reduces Fussiness, Crying, Gas and Spit-up in 24 hours, DHA & Choline to support Brain development, Value Powder Can, 27.7 Oz",https://m.media-amazon.com/images/I/51CA8-WMucL._AC_.jpg,4.8,"6,441 ratings"," ALL IN ONE COMFORT: Enfamil Gentlease is scientifically formulated to help ease fussiness, crying, gas and spit-up in 24 hours  , EXPERT RECOMMENDED DHA: Enfamil Gentlease has expert recommended brain building DHA  , COMPLETE NURTITION: Contains important nutrients found in breast milk to help support cognitive brain development through their first 12 months  , NON-GMO: No added table sugar (sucrose), corn, artificial growth hormones, antibiotics or GMOs  , #1 TRUSTED BRAND: Enfamil is the #1 Trusted Brand for Brain-building & Immune Support  , PEDIATRICIAN RECOMMENDED: Enfamil is the #1 infant formula brand recommended by pediatricians  ","Brand: Enfamil,Size: 1.73 Pound (Pack of 1),Item Weight: 27.7 Ounces,Item Form: Powder,Age Range (Description): Baby",,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                Formula
            ,
                 Powder Baby Formula
             "
B00YBF1S0Q,"Enfagrow NeuroPro Omega 3 DHA Prebiotics Non-GMO Toddler Nutritional Milk Drink, Natural Milk Flavor Powder, 32 Oz, Can",https://m.media-amazon.com/images/I/51fPJRp7xqL._AC_.jpg,4.7,659 ratings," FOR CHILDERNE AGES 1+ Contains 26 milligrams of brain nourishing omega 3 DHA to assure brain support and rapid development  , BRAIN DEVELOPMENT: Enfagrow NeuroPro contains expert recommended omega 3 DHA and iron--two building blocks of a toddler's brain  , IMMUNE HEALTH: Enfagrow NeuroPro has dual prebiotics and is fortified with vitamins and minerals to help support immune health. Made with real milk  , GROWTH & DEVELOPMENT: Contains calcium, vitamin d, zinc and 21 other nutrients—to help support growth and development and complement a toddler's diet  , RECIPES: Mix the Enfagrow powder or liquid into foods and snacks your toddler already loves – a very easy way to help get nutrients into their diet. Formerly Toddler Next Step  , #1 BABY FORMULA: Enfamil is the #1 Baby Formula brand recommended by pediatricians*  , SNAP ELIGIBLE: Eligible to be purchased with Supplemental Nutrition Assistance Program (SNAP) benefits  , SUBSCRIBE & SAVE: Choose Subscribe and Save for additional savings and convenience  ","Brand: Enfagrow,Size: 2 Pound (Pack of 1),Item Weight: 32 Ounces,Item Form: Powder,Age Range (Description): Baby",,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                Beverages
            ,
                 Nutritional Shakes
             "
B01MTZ47MV,"Gerber Snacks for Baby Value Pack, Lil Crunchies, Mild Cheddar & Veggie Dip, 1.48 Ounce (Pack of 8)",https://m.media-amazon.com/images/I/41ZVyNlFk3L.jpg,4.8,"14,788 ratings"," Snacks just for baby: This baked corn snack will melt in baby's mouth with a flavor they'll love. They're quick dissolving and come in the perfect size for tiny hands. Includes 4 each of mild cheddar & veggie dip  , Whole grains & nutrients: Lil crunches snacks have 2 grams of whole grains per serving & 15% daily value for iron and 20% for vitamin E, making them an ideal snack for your older baby learning to self-feed. Not made with genetically engineered ingredients.  , Nutritious snacks: From baby's first finger foods to nutritious toddler snacks sized for little hands our snacks always have no artificial flavors or artificial sweeteners.  , Gerber goodness: Our foods start with whole ingredients like real fruits, veggies & grains to help nourish your baby right from the start, from infant formula to baby food to snacks and toddler food  , Nutrition for growing: Like your baby, we're always growing & learning. More than ever we're committed to being your partner in parenthood with quality ingredients, nutritious food & expert guidance.  ",,,"
                Baby Products
            ,
                Feeding
            ,
                Baby Foods
            ,
                 Snack Foods
             "
