asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B019AKA6YU,"Monster Energy Drink, Green, Original, 16 Ounce (Pack of 24)",https://m.media-amazon.com/images/I/51JIolln1NL.jpg,4.8,"22,425 ratings"," UNLEASH THE BEAST: Tear into a can of the meanest energy drink on the planet, Monster Energy. Athletes, musicians, anarchists, co-ed’s, road warriors, metal heads, geeks, hipsters, and bikers dig it- you will too  , SMOOTH & EASY FLAVOR: Monster packs a powerful punch, but has a smooth easy drinking flavor. What does it taste like. It tastes like Monster  , BIG BAD BUZZ: With 160mg of Caffeine in a “Monster” 16 ounce can, Monster Energy offers more for less when compared with other 8.3 ounce energy drink.Beverage container material: Metal  , STOCK UP WITH A 24 PACK: For those looking for a powerful and edgy energy drink to stay in action, Monster Energy is Available in a convenient pack of 24  , Due to new FDA nutrition labeling requirements, product labels may vary from those pictured  ","Brand: Monster Energy,Item Form: Liquid,Flavor: Original,Package Information: Can,Volume: 16 Fluid Ounces",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Energy Drinks
             "
B078NCPSHH,"Mountain Dew Kickstart, Orange Citrus, 16 fl oz (12 Count)",https://m.media-amazon.com/images/I/51XWcL3MgiL.jpg,4.7,"12,999 ratings"," Mtn Dew Kick start in energizing Orange Citrus. The perfect mix of Dew, real fruit juice and just the right amount of kick  , Dew. Juice. Caffeine. Mtn Dew Kick start is 3 awesome things combined just like #puppymonkeybaby  , Mtn Dew Kick start is the perfect mix of Dew, real fruit juice, and just the right amount of kick  , 16 ounce cans, pack of 12  , 5 % juice  ","Brand: Mtn Dew Kickstart,Item Form: Liquid,Flavor: Orange citrus,Package Information: Can,Volume: 192 Fluid Ounces",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Soft Drinks
             "
B003P02EGU,"Sparkling ICE, Black Raspberry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",https://m.media-amazon.com/images/I/517KDvXu4fL.jpg,4.7,"118,098 ratings"," ZERO SUGAR: Sparkling Ice Black Raspberry is a fruity, flavorful sparkling water made with zero sugar; Each bottled water contains only 5 calories for guilt-free refreshment  , BETTER-FOR-YOU INGREDIENTS: Made with colors from natural sources, Sparkling Ice is made with better-for-you ingredients and bursting with real fruit flavor. Say no to soda and yes to the better-for-you carbonated beverage.  , VITAMINS & ANTIOXIDANTS: Sparkling Ice’s variety of fizzy, fruity flavors contain vitamins and antioxidants, including Vitamin A and Vitamin D to promote a balanced lifestyle  , LOW CALORIE BEVERAGE: With only 5 calories per serving, Sparkling Ice is a flavorful, low calorie beverage option with zero carbs so you can sip back and enjoy  , 12 BOTTLES: Each Sparkling Ice multi-pack offering includes 12 bottles of flavored sparkling water; Each bottle contains 1 serving equivalent to 17 fluid ounces; Please recycle  ","Brand: Sparkling ICE,Flavor: Black Raspberry,Volume: 17 Fluid Ounces,Number of Items: 12,Unit Count: 204.0 Ounce",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                Water
            ,
                 Carbonated Water
             "
B007Y6P7ZG,"BODYARMOR Sports Drink Sports Beverage, Strawberry Banana, Natural Flavors With Vitamins, Potassium-Packed Electrolytes, No Preservatives, Perfect For Athletes, 16 Fl Oz (Pack of 12)",https://m.media-amazon.com/images/I/517+dfu7uYL.jpg,4.8,"51,312 ratings"," Natural Flavors & Sweeteners  , No Colors from Artificial Sources  , Potassium-Packed Electrolytes  , 10% Coconut Water  , 200% RDI Vitamins B3, B5, B  ","Brand: BODYARMOR,Item Form: Liquid,Flavor: Strawberry Banana,Specialty: Gluten Free, Kosher, Low Fat, Low Sodium,Package Information: Bottle"," Flavor Name: , Strawberry Banana ","
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Sports Drinks
             "
B08LHGTSV1,"Gatorade Zero Sugar Thirst Quencher, Cool Blue Variety Pack, 20 Fl Oz (Pack of 12)",https://m.media-amazon.com/images/I/41pYYYiGFlL.jpg,4.8,"8,788 ratings"," Gatorade Zero has no sugar while maintaining the same proven hydration and fueling benefits of Gatorade Thirst Quencher  , When you sweat, you lose more than water. Losses in fluids and electrolytes can negatively impact performance. Gatorade Zero contains critical electrolytes to help replace what’s lost in sweat  , During training, your energy needs are unique. Gatorade Zero lets you replace what you’ve lost without adding more of what you may not need  , 5-10 Calories Per Serving: Refueling goes beyond simply refilling. With minimal calories, Gatorade Zero complements your nutritional efforts so you don’t need a workout after your workout  , 12 (20oz) Bottles: Cool Blue, Strawberry Kiwi, Lemon Lime  ","Brand: Gatorade,Item Form: Liquid,Flavor: Zero - Cool Blue Variety Pack,Package Information: Bottle,Volume: 20 Fluid Ounces"," Flavor Name: , Zero - Cool Blue Variety Pack ","
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Sports Drinks
             "
B08P39P62Z,"Rockstar Energy Drink with Caffeine Taurine and Electrolytes, Recovery Orange, 16oz (12 Pack)",https://m.media-amazon.com/images/I/519GQCa4nyL.jpg,4.7,"4,642 ratings"," Includes 12 (16oz) cans of Rockstar Recovery Energy Drink, Orange  , RESET TO PERFORM: Rockstar Recovery is our only non-carbonated drink, formulated with electrolytes for taste, 100% daily dose of Vitamin B, and 160mg caffeine to help you reset for the next hustle.  , Smooth and delicious Valencia orange flavor in this non-carbonated energy masterpiece, made with juice  ","Brand: Rockstar,Item Form: Liquid,Flavor: Recovery Orange,Package Information: Can,Volume: 192 Fluid Ounces",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Energy Drinks
             "
B07ZMKNKYP,"Iberia Aloe Vera Drink with Pure Aloe Pulp, Variety, (Pack of 8) 2 x Original, 2 x Mango, 2 x Pineapple, 2 x Strawberry",https://m.media-amazon.com/images/I/51eY294Kh0L.jpg,4.5,"8,739 ratings"," 4 FLAVORS IN A PACK OF 8: Iberia Aloe Vera Drinks variety pack includes 2 x 16.9 fl. Oz bottles each of Iberia aloe vera drink with pulp original, Iberia aloe vera drink with pulp pineapple, Iberia aloe vera drink with pulp mango and Iberia aloe vera drink with pulp strawberry.  , ALL NATURAL: 100% Natural Iberia Aloe Juices are perfect for those looking to add a healthy drink option to their diet.  , PURE ALOE PULP: Iberia Aloe Vera Juice is made with actual aloe vera pulp and other 100% pure sustainably cultivated ingredients.  , NO ARTIFICIAL COLORS & FLAVORS: Iberia Aloe Vera drink is an exceptional tasting beverage in a BPA free bottle with no artificial flavors, colors and preservatives.  , PERFECT INGREDIENT FOR SHAKES: Iberia aloe vera drink is a perfect ingredient for your favorite fruit shakes or smoothie recipe.  ","Flavor: Variety Pack,Brand: Iberia,Weight: 1.1 Pounds,Specialty: GMO Free, No Artificial Flavors, Gluten Free, No Artificial Colors, No Artificial Sweetners,Package Information: Bottle",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                Juices
            ,
                 Vegetable Juice
             "
B07FQVS86C,"Arizona Watermelon, 16.9 Fl Oz, (Pack of 20)",https://m.media-amazon.com/images/I/51yrFtIy7JL.jpg,3.9,"1,619 ratings"," Real Sugar: arizona's watermelon Cowboy cocktail contains real cane sugar and fruit juice that doesn't mask the flavors of its natural ingredients.  , 100% Natural: This flavorful medley of fruits is free free from artificial flavors and coloring normally found in powdered drinks.  , Vitamin C: this product is Vitamin C antioxidant fortified. It's a great tasting drink that adults and kids will truly enjoy.  , Refreshing: whether you're drinking straight from the bottle or a tall glass with ice, at home, school, or work, treat yourself with this thirst quenching beverage that's simply delicious.  ","Flavor: Watermelon,Brand: Arizona,Weight: 16.9 Ounces,Volume: 500 Milliliters,Specialty: Kosher"," Flavor Name: , Watermelon ","
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                Juices
            ,
                 Fruit Juice
             "
B008JA73RG,"V8 +ENERGY Peach Mango Energy Drink, Made with Real Vegetable and Fruit Juices, 8 FL OZ Can (Pack of 24)",https://m.media-amazon.com/images/I/41LU67WDIWL.jpg,4.7,"9,053 ratings"," Fruit flavored energy drinks: four (4) packs of six (6) 8 fl oz cans of V8 +ENERGY peach mango energy drink  , Natural energy from tea: steady energy powered by black and green tea to deliver roughly the same amount of caffeine as a cup of coffee, making it a great plant-based energy drink  , Plant based energy drink contains 6 deliciously blended vegetable and fruit juices and mango puree  , Non-GMO: non-GMO drink that's free of added sugars (1)  , Daily fruits and vegetables: peach mango flavored drink contains one plus combined serving of fruits and vegetables for an energy drink you can feel good about  ","Brand: V8,Item Form: Liquid,Flavor: Peach Mango,Package Information: Can,Volume: 8 Fluid Ounces",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Energy Drinks
             "
B01J38D8YO,"V8 +ENERGY Black Cherry Energy Drink, Made with Real Vegetable and Fruit Juices, 8 FL OZ Can (Pack of 24)",https://m.media-amazon.com/images/I/41CZd1-fkbL.jpg,4.8,"5,113 ratings"," Fruit flavored energy drinks: twenty-four (24) 8 fl oz cans of V8 +ENERGY black cherry energy drink  , Natural energy from tea: steady energy powered by black and green tea to deliver roughly the same amount of caffeine as a cup of coffee, making it a great plant-based energy drink  , Blend of juices: plant based energy drink contains 6 deliciously blended vegetable and fruit juices  , Non-GMO: non-GMO drink that's free of added sugars (1)  , Daily fruits and vegetables: black cherry flavored drink contains one combined serving of fruits and vegetables for an energy drink you can feel good about  ","Brand: V8,Item Form: Liquid,Flavor: Black Cherry,Package Information: Can,Volume: 8 Fluid Ounces",,"
                Grocery & Gourmet Food
            ,
                Beverages
            ,
                Bottled Beverages, Water & Drink Mixes
            ,
                 Energy Drinks
             "
