asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B09GTZMSM1,4 Packs of Izzio 8 Slice: LUCKY 7 Multigrain Bread,https://m.media-amazon.com/images/I/41woEgcYZOL.jpg,5.0,1 rating," Baked in small batches using Old World Techniques  , Decreased package size to reduce food waste  , xtended Fermentation with our Mother Sourdough Culture that has been living in our bakery since 1994  , Sustainably Sourced Ingredients  , Enjoy within couple of days of receiving your package, or freeze. It can live in the freezer for up to 4 month without loss of flavor or nutritional values  , Every Sandwich can be a Gourmet Experience with Artisan Bread  , 4 g. Protein per Serving  ",,,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                Breads
            ,
                 Sandwich Breads
             "
B09LVVZVR2,"C'O BAKERY C'O Bakery Artisan Bread Raisin & Walnut - Handmade, All Natural, High Fiber, Sliced Loaf Multipack (4 Loaves), Pack of 4",https://m.media-amazon.com/images/I/41iZpTQBdHL.jpg,3.1,2 ratings," C'O BAKERY: Artisan Raisin & Walnut Bread, pack of 4 sliced loaves (1.1 lb each)  , ENJOY HOMEMADE BREAD: Without the work! Real, crusty, chewy, delicious artisan bakery-style loaves that taste incredible with sandwiches, dips, soups, sauces, and an addition to comforting dishes.  , OUR PROCESS: We shape our breads by hand and using only basic bread ingredients such as flour, water, yeast, salt, and most importantly time. The use of pre-ferments and longer fermentation times delivers superior taste and texture compared to commercial pan bread and rolls.  , OUR COMMITMENT: All Natural, High Fiber, Handmade, Small Batch, Freshly Baked  , DELIVERED TO YOU: Orders are shipped every Monday, Tuesday and Wednesday to ensure our customers receive the freshest bread. We recommend storing the bread in your freezer if not consumed within 1 week.  , Ingredients: Whole Whet Flour, Raisin, Cranberry, Walnut  ","Flavor: Raisin & Walnut,Brand: C'O BAKERY,Weight: 1.1 Pounds",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                Breads
            ,
                Sandwich Breads
            ,
                 Multigrain
             "
B087Z9T1CN,"OREO Mini Cookies, CHIPS AHOY Mini Cookies, Nutter Butter Bites, RITZ Bits Cheese Crackers & Teddy Grahams Cinnamon Variety Pack, 15 Big Bags",https://m.media-amazon.com/images/I/51O+GT1mCuS.jpg,4.7,"6,109 ratings"," This bulk package contains 15 Big Bags: 3 each of OREO Mini Sandwich Cookies, CHIPS AHOY. Mini Cookies, Nutter Butter Bites, RITZ Bits Cheese Cracker Sandwiches and Cinnamon Teddy Grahams  , These bite-sized cookies and crackers are iconic treats. When they come in convenient Big Bags, they’re great for sharing and taking on the go.  , From work to the classroom to parties, bus trips, and movie nights, any occasion is more fun with miniature Nabisco cookies and crackers.  , Big Bags are great for sweet and savory gift bags, goodie jars, party favors, recipes, care packages, dessert baskets, lunch snacks and more.  , Each serving has 130 – 150 calories and no trans fat.  ","Flavor: Variety,Brand: Nabisco Variety,Weight: 3.31 Pounds,Item Dimensions LxWxH: 12.57 x 8.57 x 6.89 inches,Item Firmness Description: Cookies, Cracker, Package",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                 Cookies
             "
B09LVX6Y26,"C'O Bakery Artisan Bread Ciabatta Rustica - Handmade, All Natural, High Fiber, Sliced Loaf Multipacks (4 Loaves), Pack of 4",https://m.media-amazon.com/images/I/51XJWYrdtNL.jpg,3.4,3 ratings," C'O BAKERY: Artisan Ciabatta Rustica Bread, pack of 4 sliced loaves (1.1 lb each)  , WHY YOU’LL LOVE OUR BREAD: Fresh, soft & flavorful, chewy with a slight crispy crust, and handmade with simple ingredients.  , ENJOY HOMEMADE BREAD: Without the work! Real, crusty, chewy, delicious artisan bakery-style loaves that taste incredible with sandwiches, dips, soups, sauces, and an addition to comforting dishes.  , OUR PROCESS: We shape our breads by hand and using only basic bread ingredients such as flour, water, yeast, salt, and most importantly time. The use of pre-ferments and longer fermentation times delivers superior taste and texture compared to commercial pan bread and rolls.  , OUR COMMITMENT: All Natural, High Fiber, Handmade, Small Batch, Freshly Baked  , DELIVERED TO YOU: Orders are shipped every Monday, Tuesday and Wednesday to ensure our customers receive the freshest bread. We recommend storing the bread in your freezer if not consumed within 1 week.  , Ingredients: Enriched Wheat Flour, Durum Flour, Water, Salt, Yeast  , Unit count type: Count  ","Flavor: Ciabatta Rustica,Brand: C'O BAKERY,Weight: 1.1 Pounds",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                Breads
            ,
                 Dinner Breads
             "
B006J7TAHM,"Barnett’s Gourmet Chocolate Biscotti Gift Basket, Christmas Holiday Him & Her Cookie Gifts, Prime Unique Corporate Men Women Valentines Mothers Fathers Day Baskets Birthday Get Well Idea",https://m.media-amazon.com/images/I/61Bo3a-tE-L.jpg,4.1,"8,735 ratings"," DELICIOUS DOWN TO THE LAST CRUMB –Indulge in twenty-four gourmet biscotti bedecked with six decadent flavors. Do you have a boss you need a please? A girlfriend to show love to? A boyfriend to win over? Store bought candies or flowers pale next to these authentic biscotti!  , ALL-NATURAL FLAVORS- This deluxe present box contains 4 biscotti of each flavor: chocolate craisin, chocolate chip, caramel chip, nut crunch, almond crunch, and cookie crunch. All Barnett’s confections are Kosher Certified CRC Hisachdus and non-dairy.  , NO MESS OR CLEANUP REQUIRED- Forget the hassle of slaving all day to imitate the perfect Italian biscotti. We did it without using any harmful commercial ingredients so that it can sure seem that you have made these confections right at home with all the love in your heart.  , GREAT GIFT FOR ALL OCCASIONS - Handcrafted from only premium, natural ingredients, there are no additives, preservatives or trans-fat in any of our biscotti. And they are beautifully presented in a classy, clear gift box topped with our logo and either a red, brown or gold bow.  , RETURNS ACCEPTED ALWAYS - If you experience a problem with any of our products, customer service, shipping, or even if you just plain don't like what you bought, please let us know. We'll run the mile to get your smile!  ","Flavor: Chocolate,Brand: Barnetts Fine Biscotti,Weight: 2 Pounds,Specialty: Kosher Certified,Item Dimensions LxWxH: 10 x 10 x 1.5 inches",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Bakery & Dessert Gifts
             "
B00TJ5W39S,"Golden Home Ultra Thin 3 Piece, Pizza Crust 14.25 Ounce",https://m.media-amazon.com/images/I/51c8b+ZS5CL.jpg,4.3,"3,047 ratings"," 16g Protein  , Unopened pizza crusts are shelf stable up to six months.  , Unused pizza crusts can be stored in your refrigerator for 3-5 days in resealed package or in your freezer for up to 30 days.  , Number of items: 1  ",,,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                 Pizza Crusts
             "
B07B6BRC2W,"Pound Cake Banana Nut, 14 Ounce",https://m.media-amazon.com/images/I/41v02aLLNuL.jpg,3.9,96 ratings," This item is typically available for pickup/delivery between 10am-6pm  , All artisanal breads, cakes, and cookies are baked with better ingredients, so you can feel good about what you're buying (and eating)  , No hydrogenated fats or high-fructose corn syrup  , No bleached or bromated flours allowed  ","Flavor: Banana,Brand: BAKERY,Weight: 0.88 Pounds,Allergen Information: Milk, Eggs, Tree Nuts, Wheat,Package Information: Can",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                 Cakes
             "
B09D1ZKXGS,"Mr. Tortilla 1 Net Carb Tortillas (96 Tortillas) | Keto, Vegan, Kosher | (Spicy 3 Chiles)",https://m.media-amazon.com/images/I/51PXgskekdL.jpg,4.2,"15,258 ratings"," 🌮 ️‍🔥 TACOS ARE HEALTHY NOW - Our 4"" 1 Net Carb Street Taco tortillas are low on carbohydrates and fat. They're cholesterol-free too! With our shells, you can make delicious keto tacos, tostadas, quesadillas and more!  , 🌮 ️‍🔥 ️PERFECT CORN TORTILLA REPLACEMENT - Each of our taco tortillas is capable of hold a fully loaded taco with only 1 tortilla. These tortillas also bake and fry perfectly for a satisfying crunch.  , 🌮 ️‍🔥 DELIGHTFULLY FLAVORFUL - We’re not one to skimp on flavor when it comes to our product. We use only the best and freshest ingredients for our multigrain low carb flatbread wraps to ensure excellent taste.  , 🌮 ️‍🔥 STAY ON TRACK: With only 1 net carb per taco you can keep up with your keto lifestyle this holiday season. Mr Tortilla Street Taco tortillas are low on carbohydrates, fat, and are cholesterol-free! With our shells, you can make delicious and healthy keto tacos, tostadas, quesadillas and more!  , 🌮 ️‍🔥 SATISFACTION GUARANTEED - We’re fully confident in the quality of our low carb tortillas. If the product you receive doesn’t meet your expectations, contact us for a refund or replacement.  ","Brand: Mr. Tortilla,Flavor: Spicy 3 Chiles,Weight: 2.25 Pounds,Number of Items: 4,Size: 24 Count (Pack of 4)",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                Breads
            ,
                Flatbreads
            ,
                 Tortillas
             "
B083XTX2CQ,"Dave's Killer Bread Burger Buns Done Right 8Count, 17.6 Oz",https://m.media-amazon.com/images/I/51j3eUE1S+L.jpg,4.7,"4,169 ratings"," Organic  , Non-gmo  , 8g whole grains  , White done right  ","Flavor: Organic,Brand: Dave's Killer Bread,Allergen Information: Gluten,Specialty: Organic,Package Information: Bag",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                Breads
            ,
                Rolls & Buns
            ,
                 Hamburger Buns
             "
B08W8LT5V6,"Alvarado Street Bakery Bread - Sliced Bread Made with Organic Sprouted Wheat - Vegan, No GMOs (Sourdough, 2 Pack)",https://m.media-amazon.com/images/I/418OYtgeN3L.jpg,4.5,11 ratings," SOFT WHEAT BREAD: Our delicious organic sourdough bread is freshly baked, pre-sliced and ready to eat! Anyone will enjoy its soft texture and classic sourdough flavor.  , SIMPLE INGREDIENTS: Made with whole organic sprouted grains and cultured sourdough starter. Our sprouted bread slices contain: 18g of whole grains, 1g of fat, 5g of protein, 16g of carbs, and 2g of fiber & 90 calories per slice.  , SOURDOUGH SANDWICH BREAD: Our fresh bread is perfect to make sandwiches or paninis. Healthy whole grains will fill you up until your next meal!  , 2-PACK: Comes with 2 packs of sourdough bread - whole wheat - Star-K Pareve & No GMOs.  , WHO WE ARE: For over 40 years, Alvarado Street Bakery has been a leader in producing healthy, organic whole grain breads. We make our breads using sprouts we grow and harvest fresh daily. These delicious and healthy breads are enjoyed by people of all ages, including children, who love the soft texture and the nutty whole grain flavor.  ","Flavor: Sourdough,Brand: Alvarado St. Bakery,Allergen Information: Egg Free,Package Weight: 4 Pounds,Item Form: Slice",,"
                Grocery & Gourmet Food
            ,
                Breads & Bakery
            ,
                 Breads
             "
