asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B00G2XNSWQ,Nutella & GO—Hazelnut and Cocoa Spread with Breadsticks—Snack Pack for Kids—1.8 oz each—12 Pack,https://m.media-amazon.com/images/I/412F1U+K-pL.jpg,4.8,"3,724 ratings"," Pantry-perfect box holds 12 single packs, ideal for your Nutella-loving family, and individually packaged for kids' lunch boxes  , The perfect mid-morning or afternoon school and office snack: delicious Nutella hazelnut spread plus crunchy bread sticks  , Dip, crunch, smile, repeat — a one-of-a-kind snacking experience  , Healthy snack packs made for traveling, and for today's busy on-the-go lifestyles  , BACKPACK SNACK: Have your kids dip into wow by giving them their favorite back-to-school lunch-box snack. The irresistibly creamy taste of the hazelnut spread and crunchy breadsticks also make it a great after-school snack  , Pack of 12, 1.8-ounce units  , Both kids and adults love this spread  ","Brand: Nutella,Flavor: Hazelnut Spread Breadsticks,Size: 1.8 Ounce (Pack of 12),Weight: 21.6 Ounces,Allergen Information: Milk, Soy, Wheat, Tree Nuts",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Jams, Jellies & Sweet Spreads
            ,
                 Chocolate & Hazelnut Spreads
             "
B00HZ1CHTY,Atkins Endulge Treat Chocolate Coconut Bar. Rich Coconut & Decadent Chocolate. Keto-Friendly. Value Pack (10 Bars),https://m.media-amazon.com/images/I/41sP3C0N4fL.jpg,4.6,"11,040 ratings"," CHOCOLATE COCONUT BAR. Let this rich and decadent Atkins Endulge Treat delight your taste buds while keeping you true to your lifestyle. Includes 1 value pack of 10 individually wrapped 1.41 oz bars.  , STAY ON TRACK. Our Chocolate Coconut Bar provides 4 grams of protein and 9 grams of fiber per serving to help you achieve your daily goals. And, with 2 grams of net carbs and 1 gram of sugar per serving, this treat is perfect for a keto-friendly lifestyle. When used with Atkins ketogenic programs  , ALL TASTE. NO GUILT. With a soft, moist coconut filling surrounded by a thick layer of decadent dark chocolate, these bars deliver all the taste you crave with none of the guilt.  , SMART SNACKING. Atkins’ delicious and nutritious treats strike the perfect balance of indulgence and smart snacking.  , SOMETHING FOR EVERYONE. Atkins Endulge Treats have their own unique textures and flavors, offering the variety needed to satisfy all your cravings and help support your lifestyle.  ","Flavor: Chocolate Coconut,Age Range (Description): Adult,Total Eaches: 1,Weight: 1 Pounds,Allergen Information: Milk",,"
                Health & Household
            ,
                Diet & Sports Nutrition
            ,
                Nutrition Bars & Drinks
            ,
                Nutrition Bars
            ,
                 Food Bars
             "
B008IGB0QQ,"Nutella Chocolate Hazelnut Spread, Perfect Topping for Pancakes, 35.2 oz Jar",https://m.media-amazon.com/images/I/41ZXPObwlFL.jpg,4.8,"10,651 ratings"," One 35.2 oz jar of delicious Nutella hazelnut spread, the perfect topping for pancakes, waffles, toast, and more!  , The Original Hazelnut Spread…unique in all the world.  , Made from quality ingredients like roasted hazelnuts and cocoa.  , Packaged in the iconic Nutella jar.  , Pantry-perfect family-size jar – you’ll always have delicious Nutella on hand.  ","Brand: Nutella,Package Information: Jar,Flavor: Cocoa,Chocolate,Hazelnut,Weight: 35.3 Ounces,Size: 35.3 Ounce"," Size: , 35.3 Ounce ","
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Jams, Jellies & Sweet Spreads
            ,
                 Chocolate & Hazelnut Spreads
             "
B08SPDZ226,"KIND Nut Bars Favorites Variety Pack, 1.4 Ounce, 12 Count, Dark Chocolate Nuts and Sea Salt, Peanut Butter Dark Chocolate, Caramel Almond and Sea Salt",https://m.media-amazon.com/images/I/51h-z+24dAL.jpg,4.7,"4,562 ratings"," Contains 1 Box of 12 - 1.4 Ounce KIND Nut Bars, Dark Chocolate Nuts and Sea Salt (4 Bars), Peanut Butter Dark Chocolate (4 Bars), Caramel Almond and Sea Salt (4 Bars)  , Nutritionally dense snack bars lead with nuts as the first ingredient  , Almonds and peanuts combine with smooth peanut butter, sweet and buttery caramel, and rich dark chocolate for uncompromisingly delicious nutrition bars  , Take these individually wrapped snack bars anywhere for a convenient, on the go option that makes eating healthy easier  , Each KIND Nut Bar is gluten free, kosher, and a good source of protein and fiber. It's a satisfying, nutty treat that only seems indulgent  ","Flavor: Dark Chocolate,Age Range (Description): Adult,Total Eaches: 1,Weight: 1.4 Ounces,Brand: KIND"," Flavor Name: , Dark Chocolate ","
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Bars
            ,
                 Nut Bars
             "
B07CX3GRY1,"Original Cheerios Heart Healthy Cereal, Gluten Free Cereal with Whole Grain Oats, 20 oz",https://m.media-amazon.com/images/I/41JRDr3-iHL.jpg,4.8,"13,258 ratings"," This heart healthy cereal is cholesterol free, saturated fat free and contains 1 g of soluble fiber per serving  , Simply made whole grain cereal with 100% whole grain oats and no artificial flavors or colors  , A kosher, gluten free cereal perfectly sized for toddlers to practice their self-feeding skills  , Serve this whole grain cereal with milk for a quick kids breakfast or alone as toddler snacks  , CONTAINS: 20 oz  ","Brand: Cheerios,Flavor: Original Cheerios,Specialty: Gluten Free,Item Form: RTE Cereal,Weight: 1.25 Pounds"," Size: , 20 Ounce (Pack of 1) ","
                Grocery & Gourmet Food
            ,
                Breakfast Foods
            ,
                Cereals
            ,
                 Cold Cereals
             "
B07VKQ2WX8,"Nutri-Grain Soft Baked Breakfast Bars, Made with Whole Grains, Kids Snacks, Variety Pack (4 Boxes, 32 Bars)",https://m.media-amazon.com/images/I/51qqLdLH9QL.jpg,4.7,"10,958 ratings"," Made with whole grains, Nutri-Grain Soft Baked Breakfast Bars make a delicious addition to any balanced breakfast and are a perfect grab-n-go snack  , Rise and thrive with a soft, chewy crust made with whole grains and a variety of fillings for feel-good mornings  , Good source of eight vitamins and minerals; Made with whole grain (8g per 37g serving); Contains wheat, milk, and soy ingredients; Kosher Dairy  , Convenient and ideal for busy mornings; Stock your home pantry so you’re always prepared; Pack in a backpack to enjoy on the way to school  , Includes two Strawberry boxes, one Apple Cinnamon, and one Strawberry box of breakfast Bars; Eight bars in each box  ","Flavor: Blueberry, Apple Cinnamon, Strawberry,Age Range (Description): Other,Total Eaches: 1,Weight: 31.2 Ounces,Allergen Information: Soy"," Size: , 8 Count (Pack of 4) ","
                Grocery & Gourmet Food
            ,
                Breakfast Foods
            ,
                Breakfast & Cereal Bars
            ,
                 Cereal
             "
B003TNANSO,"KIND Bars Gluten Free1.4 Ounce12, Peanut Butter Dark Chocolate, 12 Count",https://m.media-amazon.com/images/I/51e25J47whL.jpg,4.7,"62,274 ratings"," Contains 1 Box of 12 - 1.4 Ounce KIND Peanut Butter Dark Chocolate Nut Bars  , Nutritionally dense snack bars lead with heart healthy peanuts as the first ingredient  , Roasted peanuts, almonds, peanut butter, and dark chocolate combine for uncompromisingly delicious nutrition bars  , Take these individually wrapped snack bars anywhere for a convenient, on the go option that makes eating healthy easier  , Each KIND Peanut Butter Dark Chocolate Nut Bar is gluten free and kosher with a low glycemic index, 7 grams of protein, and is a good source of fiber. It's a satisfying, nutty treat that only seems indulgent  ","Flavor: Peanut Butter Dark Chocolate,Age Range (Description): Adult,Total Eaches: 1,Weight: 1.15 Pounds,Allergen Information: Gluten Free, Nut",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Bars
            ,
                 Nut Bars
             "
B07D813S7Y,"Clif Kid - Organic Granola Bars – Variety Pack - Organic - Non-GMO - Lunch Box Snacks (1.27 Ounce Energy Bars, 16 Count) Assortment May Vary",https://m.media-amazon.com/images/I/51+LkZ6YhtL._AC_.jpg,4.7,"5,115 ratings"," , , ,by entering your model number., ,
, MORE FLAVORS TO SAVOR: Each variety pack contains 16 delicious snacks, including original Zbar and Zbar Protein.  , DESIGNED TO NOURISH: Made with a blend of carbohydrates, fiber, protein, and fat to keep kids satisfied at snack time and give them energy to keep zipping and zooming.  , ORGANIC & NON-GMO: CLIF Kid cares about the planet just as much as we care about your kids. That’s why all our products are non-GMO and contain organic ingredients.  , A GO-TO FOR PARENTS: Our products are lunchbox ready and free from ingredients parents are looking to avoid, such as high-fructose corn syrup and artificial flavors.  , DELICIOUS TASTE: A variety of yummy flavors kids love!  ","Flavor: Variety Pack,Age Range (Description): Kid,Total Eaches: 1,Item Weight: 1.27 Pounds,Allergen Information: Soy, Peanuts, Tree Nuts, Milk, Wheat",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Bars
            ,
                 Granola
             "
B002OXXA5S,"Maple Grove Farms, Syrup, Sugar Free, 24 Ounce",https://m.media-amazon.com/images/I/41CmbaIZPRL.jpg,4.7,"2,507 ratings"," Sweetened with Splenda  , A delicious pairing with Maple Grove pancakes and waffles  , Rich, authentic maple flavor  , Low in calories  , Fat-free  ","Brand: Maple Grove Farms,Flavor: Maple,Volume: 710 Milliliters,Number of Items: 1,Specialty: Sugar-free",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Baking Syrups, Sugars & Sweeteners
            ,
                 Maple Syrup
             "
B08R4VXSGD,"Clif Kid ZBAR - Protein Granola Bars - Value Pack - Gluten Free - Non-GMO - Lunch Box Snacks (1.27 Ounce Energy Bars, 30 Count)",https://m.media-amazon.com/images/I/41gDNDfKWyS._AC_.jpg,4.7,591 ratings," Includes 30 Zbars total (two 5 count boxes of each flavor: Chocolate Chip, Chocolate Mint, and Cookies 'n Creme) and a sheet of stickers (while supplies last)  , GOOD SOURCE OF PROTEIN: Zbar Protein is a whole grain protein snack bar designed for kids; Each bar contains 5g of protein  , GLUTEN FREE: Made with organic rolled oats, Zbar Protein is a gluten free snack the whole family can enjoy  , CRISPY TEXTURE: Zbar Protein has a crispy, kid-friendly texture that can satisfy even the pickiest of eaters at lunch time or any time  , PERFECT FOR ACTIVE KIDS: Whether it’s soccer practice or backyard games, Zbar Protein is designed for active kids on the go  , A GO-TO FOR PARENTS: Zbar Protein is lunchbox ready, free from ingredients that parents are looking to avoid, such as high fructose corn syrup, artificial flavors, and synthetic preservatives  ","Flavor: Zbar Protein Value Pack,Diet Type: Gluten Free,Age Range (Description): Kid,Total Eaches: 1,Item Weight: 3.09 Pounds",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Bars
            ,
                 Granola
             "
