asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B08FYGTNLV,"Amazon Kitchen, BBQ Seasoned Salad with Chicken, 12.4 oz",https://m.media-amazon.com/images/I/51TvAJDVy2L.jpg,4.5,"1,444 ratings"," Antibiotic-free white chicken, romaine, spinach, black-eyed peas, crispy onions, cheddar, bbq ranch dressing  , 24g Protein per serving  , Get Your Greens  , Ready when you are—just combine ingredients, shake, and enjoy  , Brought to you by Amazon Kitchen, grab-and-enjoy meal solutions, prepped for what’s next  , Best when enjoyed within a couple days of arrival  ",,,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Entrees
             "
B086L4XKQH,"Whole Foods Market, Grilled Chicken Fettuccine Alfredo with Broccoli, 12 oz",https://m.media-amazon.com/images/I/51bCxVNyq2L.jpg,4.3,975 ratings," Grilled chicken with fettuccine, broccoli, Parmesan, Pecorino Romano, parsley and Alfredo sauce  , Just heat in your microwave for 2.5 minutes  , Brought to you by Whole Foods Market—our standards and quality are what set us apart every day  ","Brand: Whole Foods Market,Flavor: Chicken Alfredo,Weight: 12 Ounces,Size: 12 Ounce,Allergen Information: Dairy, Wheat, Milk",,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Entrees
             "
B08ZV1LRYG,"Amazon Kitchen, Slow-Cooked Beef & Mashed Potatoes, Single Serve Meal, 12.5 oz",https://m.media-amazon.com/images/I/41TkGPA8QGL.jpg,3.9,"1,867 ratings"," Slow roasted beef, cremini mushrooms, carrots, and pearl onions with burgundy gravy and fresh chopped parsley, and creamy mashed potatoes  , Ready in Minutes  , Microwave on high for 3.5 minutes  , Brought to you by Amazon Kitchen, grab-and-enjoy meal solutions, prepped for what’s next  , To ensure freshness, enjoy within a couple of days of arrival  ",,,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Entrees
             "
B07DKMM5TM,Whole Foods Market Spinach Orzo Pasta Salad,https://m.media-amazon.com/images/I/41fu21Wz+-L.jpg,4.5,565 ratings," This item is typically available for pickup/delivery between 10am-6pm  , Held to higher ingredient standards, so you can feel good about what you're buying (and eating)  , No hydrogenated fats, high-fructose corn syrup or added MSG  ",,,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Deli Salads
             "
B07HM42PQL,"Wellshire Farms, Ham Black Forest Charcuterie",https://m.media-amazon.com/images/I/31EunjPtfdL.jpg,4.5,"2,586 ratings"," This item is only available for delivery or pick-up between 9am and 10pm  , No hydrogenated fats, high-fructose corn syrup or added MSG  ","Brand: Wellshire Farms,Size: 1 Pound (Pack of 1),Flavor: Ham,Cuisine: US,Package Weight: 16.01 Ounces",,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                Deli Meats & Cheeses
            ,
                Deli-Sliced Meats
            ,
                 Ham
             "
B07RV19YXH,"Amazon Kitchen, Chicken Tortilla Soup, 24 oz",https://m.media-amazon.com/images/I/41JXOu9mezL.jpg,4.2,"4,296 ratings"," Chicken, black beans, corn, and tomatoes in a savory stock seasoned with puréed chile peppers  , Heat Up, Spoon In  , Empty soup into bowl and heat in microwave 5-6 minutes or pour into pot and simmer on stove 12-15 minutes  , Brought to you by Amazon Kitchen, grab-and-enjoy meal solutions, prepped for what’s next  ","Brand: Amazon Kitchen,Item Form: Liquid,Package Information: Tub,Number of Items: 1,Weight: 1.5 Pounds",,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Soups, Stews & Chili
             "
B08RKX359R,Whole Foods Market Cranberry Apple Tuna Salad,https://m.media-amazon.com/images/I/51miiTTeeoL.jpg,4.3,690 ratings," This item is only available for delivery or pick-up between 9am and 10pm  , Held to higher ingredient standards, so you can feel good about what you're buying (and eating)  , No hydrogenated fats, high-fructose corn syrup or added MSG  ","Brand: Whole Foods Market,Flavor: Apple,Size: 1 Pound (Pack of 1),Allergen Information: Eggs, Fish",,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Deli Salads
             "
B000HDGCX4,"Bumble Bee Snack on the Run Chicken Salad with Crackers Kit- Ready to Eat, Spoon Included - Shelf Stable & Convenient Protein Snack, 3.5 oz (Pack of 12)",https://m.media-amazon.com/images/I/41yahlSrYFL.jpg,4.4,"9,425 ratings"," CHICKEN SALAD WITH CRACKERS KIT: Premium, fresh-tasting chicken salad; Includes canned chicken salad, six crackers and spoon; Simply open the box and enjoy  , DELICIOUS CHICKEN SNACK WITH CRACKERS: Pack of 12, 3.5 ounce Bumble Bee Snack on the Run! Chicken Salad with Crackers Kit will satisfy you and your family whenever you want a tasty snack or quick lunch on the go  , PROTEIN SNACKS: This delicious Bumble Bee chicken salad with crackers kit is a good source of protein (See product packaging for nutrition information)  , SHELF STABLE CHICKEN SALAD KIT: Bumble Bee Snack on the Run! chicken salad with crackers kits require no refrigeration and are already mixed and ready-to-go wherever life takes you; Perfect for outdoor activities like hiking, biking, camping and sports  , CONVENIENT SNACKS: Enjoy Bumble Bee Snack on the Run! chicken salad with crackers kits as a great-tasting, protein packed snack, lunch or as part of any other meal; Perfectly sized for your lunch box or lunch bag  ",," Flavor: , Chicken Salad ","
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Deli Salads
             "
B09FV2F8YX,"Whole Foods Market, Penne alla Vodka, 12 oz",https://m.media-amazon.com/images/I/51N+OYsKhJL.jpg,4.0,197 ratings," Tender penne pasta is tossed in a rich, creamy, tomato-based vodka sauce and topped with Italian pork sausage and parmesan cheese  , Just heat in your microwave for 3 minutes  , Brought to you by Whole Foods Market—our standards and quality are what set us apart every day  ","Brand: Whole Foods Market,Weight: 12 Ounces,Number of Items: 1",,"
                Grocery & Gourmet Food
            ,
                Deli & Prepared Foods
            ,
                 Entrees
             "
B004SI9BIC,"Native Forest, Artichoke Hearts Whole, 9.9 Ounce",https://m.media-amazon.com/images/I/41W+NC-L6RL.jpg,4.4,155 ratings, Artichokes  ,"Diet Type: Gluten Free, Kosher, Vegan,Item Form: Whole,Brand: Native Forest,Weight: 9.9 Ounces,Number of Pieces: 6",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Canned, Jarred & Packaged Foods
            ,
                Vegetables
            ,
                 Artichoke Hearts
             "
