asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B0032GQN3C,"Old El Paso Fajita Dinner Kit With Flour Tortillas, Mild Fajita Sauce & Seasoning Mix, 12.5 oz. (Pack of 6)",https://m.media-amazon.com/images/I/61pIAmxi37L.jpg,4.6,30 ratings," FAJITA DINNER KIT: This Old El Paso Fajita Dinner Kit comes with 10 flour tortillas, seasoning mix and mild fajita sauce  , EASY MEALTIMES: Follow the simple instructions to whip up tasty fajitas that the whole family will love  , CHOOSE YOUR PROTEIN: You can use chicken, beef or a combo of both for your fajita fiesta  , FAJITAS YOUR WAY: Load up your fajitas your way with your favorite toppings  , CONTAINS: 6 boxes, 12.5 oz each  ",,,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B09Q3NJZT5,The Miracle Meal 21 Day Prayer Pre-filled Communion Cups & Gluetn Free Wafers - Pack of 21 - with 100% trusted Concord Grape Juice & Wafer - Made in the USA - Premium Quality Guaranteed,https://m.media-amazon.com/images/I/41MUtHMylCL.jpg,4.6,32 ratings," 【PRE-FILLED COMMUNION CUPS】➜ The Miracle Meal disposable pre-filled communion cups are the perfect and easier way to celebrate in church, hospital visitation, homes, retreats, camps, household or small, medium & large gathering or group assembly. It is Pre-packaged with utmost diligence and will arrive with zero leakage.  , 【PURE AND FRESH INGREDIENTS.】➜ We proudly make The Miracle Meal Disposable Communion Cups in the USA with 100% trusted Concord Grape Juice. We are the manufactures and we ensure that we make fresh and supply fresh. The wafers used are gluten-free and made strictly without additives and are untouched by human hands.  , 【READY TO SERVE】➜Now you don’t need to prepare the bread and juice by hand, thus reducing the work of church staff or volunteers while minimizing the risk of potential contamination. Our pre-filled Communion cups and wafer set is an appreciated solution to serving Communion in a convenient and healthy way.  , 【READY TO SERVE】➜Now you don’t need to prepare the bread and juice by hand, thus reducing the work of church staff or volunteers while minimizing the risk of potential contamination. Our pre-filled Communion cups and wafer set is an appreciated solution to serving Communion in a convenient and healthy way.  , 【SHELF LIFE】➜ The expiry date of our product is 1 Year from the date of manufacturing. The manufacturing & Best Used By dates are stamped on each box for better clarity. We manufacture fresh every day and ensure they are shipped the same day.  ","Brand: PACK IT HUB FLEXIBLE FOOD PACKAGING,Flavor: Grape,Material Type Free: Gluten Free",,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B07QJV1S9Q,(NOT A CASE) Organic Vegan Shells & Creamy Sauce,https://m.media-amazon.com/images/I/513RpVsFpFL.jpg,,," # THIS IS NOT A CASE. PLEASE read Description & Title properly before purchase #  , # THIS IS NOT A CASE. PLEASE read Description & Title properly before purchase #  , # THIS IS NOT A CASE. PLEASE read Description & Title properly before purchase #  , -- ONLY 1 ITEM -- CUBIC: 7.5  , LENGTH: 1.4. WIDTH: 3.5. HEIGHT: 7.5. WEIGHT: 0.44  ","Flavor: Potato,Pumpkin,Brand: Annies,Package Weight: 999 Pounds,Material Feature: Certified Organic, Vegan",,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B07J656Q93,"WonderSlim Core 1 Week Diet Kit 35 Meals - Meal Replacements, Protein Supplements, and Snacks",https://m.media-amazon.com/images/I/517mUSRB-0L._AC_.jpg,3.7,285 ratings," COMPLETE 1 WEEK KIT: Take the effort and guesswork out of a diet with 35 meals consisting of meal replacement shakes, lunches and snacks.  , HEALTHY DAILY PLAN: On the WonderSlim Diet Plan, you eat 3 WonderSlim Meal Replacements, 2 Protein Supplements, 1 Snack Item, and 1 Healthy Meal per day.  , DELICIOUS & FILLING: Fill a shaker bottle with chocolate, mocha or vanilla cream meal replacements, or enjoy sloppy joes and protein and fiber bars.  , PERFECT PORTIONS: Each of our meal replacements and snack products has been weighed, measured, carb and calorie counted so you don’t have to!  , TRUSTED BRAND - WonderSlim is a trusted brand in the Weight Loss industry. All of our Meal Plans are endorsed by a licensed dietitian. MADE IN USA  ","Brand: WonderSlim,Flavor: Chocolate,Item Form: Powder,Package Weight: 1.59 Kilograms,Package Information: Bottle",,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B09MMLGH4Q,sans marque Tempeh starter 10g Bio,https://m.media-amazon.com/images/I/5148OPVnm1L.jpg,,," Tempeh starter Rhizopus oligosporus  , Unit count type: Ounce  ",,,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B08FCS51YC,"Lobo Pad Thai Meal Kit, Pack of 2",https://m.media-amazon.com/images/I/5168ZxSs+IL.jpg,4.4,171 ratings," Enjoy cooking restaurant-quality Thai food at home with this kit from Lobo  , You will receive 2 kits. Each kit comprises of Thai rice stick/noodle, sauce and ground peanut  , Just add a choice of protein, tofu, eggs and bean sprouts (or vegetable of your choice)  , Easy-to-follow instruction right on the package  , Approximate prep time is 15 mins, 2 servings per kit  ",,,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B07M8W4FMM,(NOT A CASE) Dark Cacao Macaroons,https://m.media-amazon.com/images/I/41bJ7IohXsL.jpg,5.0,2 ratings," # THIS IS NOT A CASE. PLEASE read Description & Title properly before purchase #  , # THIS IS NOT A CASE. PLEASE read Description & Title properly before purchase #  , # THIS IS NOT A CASE. PLEASE read Description & Title properly before purchase #  , -- ONLY 1 ITEM -- CUBIC: 6.45  , LENGTH: 1.6. WIDTH: 5.45. HEIGHT: 6.45. WEIGHT: 0.38  ","Flavor: Cocoa,Chocolate,Brand: Emmys Organics,Package Weight: 999 Pounds,Package Type: Pouch",,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B09Y2BZ614,Official Carnegie Deli Sandwich Kit - A New York Tradition - Makes 4 Sandwiches – Pastrami,https://m.media-amazon.com/images/I/61WsIu2WflL.jpg,5.0,1 rating," It’s the recipe that made the Carnegie Deli famous. Our pastrami is brined, seasoned, and smoked with our secret family recipe.  , Our tender, pre-sliced fully cooked pastrami is ready to devour as soon as you heat and serve it. Prepare a hot sandwich in minutes, loaded with melt-in-your-mouth pastrami and spicy brown mustard cradled between two slices of old-fashioned rye bread. Who can resist?  , Makes four 6-ounce sandwiches.  , Includes storage and serving instructions.  , January 1 through October 31 – we ship Mondays and Tuesdays via 2-day service. Orders received after 12pm Tuesday will ship the following Monday.  , November 1 through December 31 - we ship Mondays, Tuesdays, and Wednesdays via 2-day service. Orders received after 9am Wednesday will ship the following Monday.  ","Brand: Carnegie Deli,Flavor: Pastrami,Specialty: Kosher Style, Kosher",,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B0BGYZ4HRP,"Blue Apron Flatbread Pizza & Glazed Chicken Meal Kits + Salad, 4 Servings Each",https://m.media-amazon.com/images/I/61zDibm6coL.jpg,,," Included in this Blue Apron Meal Kit for 4, you’ll receive the ingredients and instructions to prepare:  , 4 servings of Creamy Mushroom & Spinach Flatbread with Fontina & Garlic; Estimated prep time: 40-50 minutes.  , 4 servings of Soy & Butter-Glazed Chicken with Sesame Vegetables & White Rice; Estimated prep time: 25-35 minutes.  , 2-4 servings of Butter Lettuce & Apple Salad with Parmesan & Balsamic-Dijon Vinaigrette; Estimated prep time: 5-15 minutes.  ",,,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
B0BG92M9LV,"Blue Apron Heat & Eat Meals featuring 4 Single Serving, Microwavable Meals with Chicken Alfredo Pasta and Cheesy Truffle Pasta",https://m.media-amazon.com/images/I/51tla+Sl1PL.jpg,,," Included in this Blue Apron Heat & Eat Meal Kit, you’ll receive:  , 2 microwavable trays of Chicken Alfredo Pasta with Peas, featuring an elevated classic chicken alfredo and penne pasta with five Italian cheeses, green peas, capers, and herbs.  , 2 microwavable trays of Cheesy Truffle Cavatappi with Mushrooms & Kale featuring cavatappi pasta, roasted mushrooms, black truffle, and parmesan cheese.  ",,,"
                Grocery & Gourmet Food
            ,
                 Fresh Meal Kits
             "
