asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B07XRD15PJ,"Fresh Produce Garlic ,1kg",https://m.media-amazon.com/images/I/41IEVnRTdDL.jpg,,, GARLIC  ,"Brand: Fresh Produce,Weight: 1 Kilograms,Temperature Condition: Fresh,Number of Pieces: 1",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Garlic
             "
B010OVUPAO,"Oranges Navel Large, 1 Ct.",https://m.media-amazon.com/images/I/51WiPnrNZbL.jpg,,, Product of United States of America  ,,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                 Fresh Fruits
             "
B010OWF92W,"Organic Banana, 1 Each",https://m.media-amazon.com/images/I/412mP9sPn8L.jpg,,, Product of Ecuador  ,,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                 Fresh Fruits
             "
B010OVPV5S,"Seedless Green Grapes, 1 Pound",https://m.media-amazon.com/images/I/51Zu57-OkdL.jpg,3.2,10 ratings, Product of United States of America  ,,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                 Fresh Fruits
             "
B01K8RTY88,"Apple Gala, 1 Count",https://m.media-amazon.com/images/I/51GpOATtQPL.jpg,5.0,2 ratings,,,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                 Fresh Fruits
             "
B08821BX1C,"Jumbo Blueberries, 9.8 OZ",https://m.media-amazon.com/images/I/41QQ9OOvPQL.jpg,4.7,"1,181 ratings"," Big on size | Mighty Blues are over twice the size of an average Blueberry  , Burst of flavor | Mighty Blues big on flavor and are the perfect addition to any meal, snack, or dessert  , Antioxidant boost | These berries are packed with antioxidants and essential vitamins like Vitamin C  , Globally local | Our focus on innovation ensures year-round availability of locally grown and globally local fruit  ",,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Berries
             "
B077ZXHWHH,"Kiwi Organic, 1 Each",https://m.media-amazon.com/images/I/41Ez8uw4gdL.jpg,4.6,"6,889 ratings"," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Size: 1 Count,Brand: Produce (Brands May Vary),Diet Type: Paleo, Gluten Free, Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Tropical & Exotic Fruit
             "
B00E3JAP5Y,"Bi-color or White Corn, 4 ct Tray Pack (Brand May Vary)",https://m.media-amazon.com/images/I/51zl3si6I7L.jpg,4.6,"6,535 ratings"," Note: Brand May Vary  , Fresh corn on the cob  , 4 ct tray  , Great for your at-home cooking or grilling  ","Diet Type: Paleo, Vegetarian, Vegan,Item Form: Vegetable,Brand: Produce aisle,Temperature Condition: Fresh,Number of Pieces: 4",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Cut & Packaged Vegetables
             "
B07FTYGLYQ,"PRODUCE Cara Cara Navel Oranges, 48 OZ",https://m.media-amazon.com/images/I/41Wx5OHPjjL.jpg,4.5,845 ratings, Oranges  ,"Weight: 3 Pounds,Size: 3 Pound (Pack of 1),Brand: Produce (Brands May Vary),Diet Type: Paleo, Vegetarian, Vegan,Package Weight: 58.2 Ounces",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                Citrus Fruits
            ,
                 Oranges
             "
B01LAYXIWG,"Taylor Farms Teriyaki Stir Fry Kit, 12.5 oz",https://m.media-amazon.com/images/I/51EjZ-0YY-L.jpg,4.6,"3,739 ratings"," Washed and ready to enjoy  , From bag to table in less than 7 minutes  , Excellent source of Vitamins A & C  , Stir Fry Kit veggies and teriyaki sauce included  , Dairy Free, Nut Free, Vegan & Vegetarian  ","Flavor: Teriyaki,Brand: Taylor Farms,Weight: 12.5 Ounces,Allergen Information: Soy, Wheat,Package Weight: 0.41 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Cut & Packaged Vegetables
             "
B0093J41PE,"Fisher Walnut Halves and Pieces, 16 Ounces, California Grown Walnuts, Unsalted, Naturally Gluten Free, No Preservatives, Non-GMO",https://m.media-amazon.com/images/I/51heVwhQoKL.jpg,4.7,"22,328 ratings"," Rich and Nutty Flavor – With 4 grams of plant-based protein and 2 grams of fiber per serving, Fisher Walnuts are perfect for baking and make a great addition to your breakfast, appetizers, salads, and of course ice cream  , Fisher Fresh – Fisher’s Freshness Seal locks in flavor and re-seals our signature stand up resealable bag to keep nuts fresh even after opening  , California Walnuts – Northern California grown, no preservatives, naturally gluten free, Non-GMO Project verified, American Heart Association certified, vegan, and keto nuts  , Walnuts Bulk – Contains 16 ounces of walnut halves and pieces unsalted. Shelled Walnuts. 16 ounces = 4 1/3 cups  , About Fisher – We are committed to bringing you the Fisher quality you trust. We have been delivering quality nuts for 100 years and we oversee the whole journey, from the farm to your kitchen  ","Flavor: Walnut,Brand: Fisher Nuts,Allergen Information: Milk Free, Peanuts, Tree Nuts, Fish Free, Crustacean Free, Wheat Free,Item Form: Sliced,Specialty: GMO Free",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Nuts & Seeds
            ,
                 Walnuts
             "
B01LEZL7RE,"Zespri, Green Kiwis, 1lb",https://m.media-amazon.com/images/I/51yK8fvMzyL.jpg,4.7,"3,800 ratings"," Zespri Kiwi has a tangy-sweet taste and a vibrant emerald green color inside.  , No peeling necessary! Just cut in half, scoop with a spoon and enjoy!  , Ripe kiwi should yield to slight pressure like a peach or avocado. Once ripe, keep in the fridge to maintain freshness.  , Nutritional Powerhouse - High in Vitamin C and contains more than 20 vitamins and minerals.  , Zespri is owned by 2500 growers dedicated to perfecting their craft of growing kiwifruit for over 25 years. Look for the Zespri brand for consistent quality and superior flavor in kiwifruit.  , Grown in New Zealand  ","Weight: 1 Pounds,Brand: Zespri,Specialty: Local,Diet Type: Vegetarian,Package Weight: 0.57 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Tropical & Exotic Fruit
             "
B0031Q80UM,"Organic Red Raspberries, 6 oz",https://m.media-amazon.com/images/I/41+abEMM-SL.jpg,4.7,"15,885 ratings"," Wash before consuming  , Grown in the Unite States or Mexico  , Certified Organic  , Delicious on their own as a healthy snack or as part of a recipe  ","Weight: 6 Ounces,Size: 0.5 PT,Brand: Produce,Specialty: Organic, Vegan,Diet Type: Paleo, Gluten Free, Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Berries
             "
B010OVSO8E,"Aloe Vera Leaves, 1 Ct.",https://m.media-amazon.com/images/I/41WykZOa3-L.jpg,,, Product of Mexico  ,,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                 Fresh Vegetables
             "
B0979F94WC,"Fresh Brand – Organic Soup Blend, 0.5 oz",https://m.media-amazon.com/images/I/414e8QsQlsL.jpg,4.6,125 ratings," 0.5-ounce package of rosemary, thyme, oregano and bay leaf  , USDA Organic  , Wash before use  , Our Fresh brand products are all about high-quality food that fits every budget, every day.  , An Amazon Brand  ","Brand: Fresh,Item Form: Vegetable,Package Information: Pouch,Weight: 0.5 Ounces,Package Weight: 0.02 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                 Fresh Vegetables
             "
B07FZ83QRZ,Organic Baby Bok Choy,https://m.media-amazon.com/images/I/41SPjzL5o2L.jpg,4.7,"3,276 ratings"," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Diet Type: Paleo, Gluten Free, Vegan,Item Form: Whole,Brand: Produce,Weight: 1 Pounds",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Leafy Greens
             "
B09HQJGQDG,"Organic Leeks, 1 Bunch",https://m.media-amazon.com/images/I/319zsk-SpiL.jpg,4.6,223 ratings," Organic Leeks, One Bunch, Great for Cooking  ","Diet Type: Paleo, Vegetarian, Vegan,Item Form: Whole,Brand: Produce,Weight: 1 Pounds,Temperature Condition: Fresh",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Onions & Shallots
             "
B00E3JLSWI,"Sunset Wild Wonders Tomatoes, 12oz",https://m.media-amazon.com/images/I/51R3kvo4jML.jpg,4.7,"23,836 ratings"," Non-GMO verified; a healthy choice for families  , The perfect display to snack on; a variety of colorful and flavorful tomatoes.  , Low in saturated fat and cholesterol  , Rich in lycopene, a powerful antioxidant that can help prevent cancer.  ","Diet Type: Vegetarian, Vegan, Plant Based,Item Form: Whole,Brand: Wild Wonders,Weight: 12 Ounces,Specialty: Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Tomatoes
             "
B077L639WX,"365 by Whole Foods Market, Organic Cauliflower Florets, 10 Ounce",https://m.media-amazon.com/images/I/41Y8YRS3I1L.jpg,4.6,"5,442 ratings"," 365 by Whole Foods Market products give you that dance-down-the-aisles feeling, virtual aisles too! Our huge range of choices with premium ingredients at prices you can get down with makes grocery shopping so much more than tossing the basics in your cart.  ","Diet Type: Vegan,Item Form: Whole,Brand: 365 by Whole Foods Market,Weight: 0.63 Pounds",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Cut & Packaged Vegetables
             "
B0787VQG58,"Leeks Organic, 1 Bunch",https://m.media-amazon.com/images/I/31yIxFWZtAL.jpg,4.7,"4,306 ratings"," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Diet Type: Paleo, Gluten Free, Vegan,Brand: Produce (Brands May Vary),Weight: 2.44 Pounds",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Onions & Shallots
             "
B000NSGULC,Cantaloupe Melon,https://m.media-amazon.com/images/I/41gaze1+TgL.jpg,4.4,"17,177 ratings"," Grown in United States, Guatemala or Honduras  , Can be stored at room temperature when whole, once sliced be sure to wrap and store in the refrigerator  ","Weight: 3.14 Pounds,Size: 1 EA,Brand: Produce,Specialty: Vegan,Diet Type: Paleo, Gluten Free, Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Melons
             "
B09V3L5ZYM,PRODUCE Pineapple Chunks Small,https://m.media-amazon.com/images/I/310rhg2kQWL.jpg,4.3,5 ratings, Our fresh cut fruit is hand selected and cut in house to ensure the highest quality  ,,,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Cut & Packaged Fruits
             "
B097F2BR6K,"Fresh Brand – Organic Tarragon, 0.5 oz",https://m.media-amazon.com/images/I/41FIydc7XOL.jpg,4.7,191 ratings," 0.5-ounce package of tarragon  , USDA Organic  , Wash before use  , Our Fresh brand products are all about high-quality food that fits every budget, every day.  , An Amazon Brand  ","Brand: Fresh,Item Form: Vegetable,Weight: 0.5 Ounces,Variety: Parsley,Mint,Anise,Basil,Tarragon,Package Weight: 0.02 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Herbs
            ,
                 Tarragon
             "
B00KMM8I6Y,"Taylor Farms Spinach, 9 oz Bag",https://m.media-amazon.com/images/I/41g+2i7bM3L.jpg,4.8,"6,171 ratings"," Washed and ready to enjoy  , Excellent source of Vitamins A & C  , High in folate  , Good source of Iron, Potassium & Magnesium  , Recipe ready  ","Diet Type: Vegetarian,Item Form: Whole,Brand: Taylor Farms,Specialty: Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Packaged Greens & Salad Mixes
             "
B07FZ352BB,Organic Hannah (White) Sweet Potatoes,https://m.media-amazon.com/images/I/31X661YqYKL.jpg,4.6,"1,031 ratings"," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Item Form: Whole,Brand: Produce,Weight: 1 Pounds",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                Potatoes & Yams
            ,
                 Sweet Potatoes
             "
B07D6TRRJQ,"Sugar Snap Peas Conventional Sourced For Good, 8 Ounce Bag",https://m.media-amazon.com/images/I/414f4VUZgjL.jpg,4.5,"2,268 ratings"," Only from Whole Foods Market, our Sourced for Good program helps support workers, communities and environmental stewardship where our products are sourced.  ","Brand: Produce aisle,Weight: 0.5 Pounds,Item Form: Whole,Package Weight: 0.25 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Peas & Beans
             "
B000RGZNAO,Organic Green Seedless Grapes,https://m.media-amazon.com/images/I/41AtUnsK2EL.jpg,4.6,"7,053 ratings"," Wash before consuming  , Grown in United States or Mexico  , Certified Organic  ","Size: 1 Pound,Brand: Produce aisle,Specialty: Organic, Vegan,Diet Type: Vegetarian,Package Weight: 0.54 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Grapes
             "
B000P6X4WA,"Avocados, 4 Count",https://m.media-amazon.com/images/I/41EcSbjlvRL.jpg,4.5,"4,858 ratings"," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Weight: 0.12 Pounds,Size: 4 Count,Brand: Produce aisle,Specialty: Vegan,Diet Type: Vegetarian",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Avocados
             "
B00KMM8CO2,"Taylor Farms Spring Mix, 5 oz Bag",https://m.media-amazon.com/images/I/41vCQH1acBL.jpg,4.7,"5,222 ratings"," Washed and ready to enjoy  , High in Vitamins A & C  , Recipe ready  ","Diet Type: Kosher,Brand: Taylor Farms,Weight: 0.31 Pounds,Specialty: Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Packaged Greens & Salad Mixes
             "
B07FZ84BDS,Cotton Candy Grapes,https://m.media-amazon.com/images/I/41RlxuBtUkL.jpg,4.5,885 ratings," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Weight: 1.7 Pounds,Size: 1 LB,Brand: PRODUCE,Diet Type: Vegetarian,Package Weight: 1.7 Pounds",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Grapes
             "
B09XXV8H97,"Bagged Hass Avocados, 6 Count",https://m.media-amazon.com/images/I/51wccFWxt8L.jpg,4.3,900 ratings," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Size: 6 Count (Pack of 1),Brand: Produce,Diet Type: Vegetarian,Number of Pieces: 6 NaN,Temperature Condition: Fresh",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Avocados
             "
B0040QYLW8,Organic English Seedless Cucumber,https://m.media-amazon.com/images/I/413jSOOXhmL.jpg,4.6,"6,588 ratings"," It's high in beneficial nutrients  , Contains Antioxidants  , Cucumbers are a refreshing, nutritious and incredibly versatile addition to any diet.  ","Diet Type: Paleo, Gluten Free, Vegan,Item Form: Whole,Brand: Produce aisle,Weight: 0.7 Pounds,Specialty: Organic, Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                 Cucumbers
             "
B077N7TR5G,"Organic Blueberry, 12 Ounce",https://m.media-amazon.com/images/I/41ztFVI9nmL.jpg,4.7,"17,755 ratings"," Wash before consuming  , Grown in United States, Argentina, Mexico, Uruguay, Chile, Peru, or Canada  , Certified Organic  , Delicious on their own as a healthy snack or as part of a recipe  , Store in the refrigerator for maximum shelf life  ","Weight: 0.75 Pounds,Size: 1 PT,Brand: Produce,Specialty: Organic,Diet Type: Paleo, Vegetarian, Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Fruits
            ,
                 Berries
             "
B07BBMYF2J,"Greens Spinach Organic, 1 Bunch",https://m.media-amazon.com/images/I/41tnOoihY2L.jpg,4.7,"5,045 ratings"," Selected and stored fresh  , Sourced with high quality standards  , Recommended to wash before consuming  , Delicious on their own as a healthy snack or as part of a recipe  ","Diet Type: Paleo, Gluten Free, Vegan,Item Form: With stem and leaf,Brand: Produce (Brands May Vary),Number of Pieces: 1",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Fresh Vegetables
            ,
                Leafy Greens
            ,
                 Spinach
             "
B003IMETAO,organicgirl Organic Romaine Heart Leaves 7 oz,https://m.media-amazon.com/images/I/41gHAM-LsyL.jpg,4.6,"8,973 ratings"," USDA Organic  , Triple Washed and Ready-to-Eat!  , Clamshells are made from 100% recycled plastic and are 100% recyclable!!  , Re-sealable to maintain freshness  , This item will usually be the Organic Girl Brand  ","Diet Type: Paleo, Gluten Free, Vegan,Brand: Organicgirl,Weight: 7 Ounces,Temperature Condition: Fresh,Specialty: Organic, Vegan",,"
                Grocery & Gourmet Food
            ,
                Produce
            ,
                Packaged Produce
            ,
                 Cut & Packaged Vegetables
             "
