asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B083JYR69D,"Amy's Vietnamese Banh Mi Wrap, 5oz (Frozen)",https://m.media-amazon.com/images/I/51EMoBG5QgS.jpg,4.3,595 ratings," Contains 1 - 5.5 Ounce Vietnamese banh MI wrap  , Vegan  , Gluten Free  , Plant-based  , Dairy Free  ","Brand: Amy's,Weight: 0.38 Pounds,Size: 5.5 Ounce,Allergen Information: Soy,Specialty: Vegan",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                 Meals & Entrees
             "
B0832BDMJT,"Whole Foods Market, Lumache alla Fiorentina, 16 Ounce (Frozen)",https://m.media-amazon.com/images/I/41o-EdhsnsL.jpg,4.4,"1,046 ratings"," Brought to you by Whole Foods Market.  Our standards are what set us apart, and our quality is what keeps us stocking pantries, fridges and freezers with the best natural and organic 365 Everyday Value products every day.  , Made in Italy, our lumache pasta cradles sauce with its delicate snail shape (lumache is Italian for snails). Here, the pasta holds a creamy rich Florentine sauce generously dotted with minced, vibrant green spinach.  , Serve unadorned or plate with grilled chicken and steamed veggies.  , Imported Italian  , Ready in 7–10 Minutes  ","Brand: Whole Foods Market,Flavor: Chicken,Weight: 1 Pounds,Size: 1 Pound (Pack of 1),Allergen Information: Eggs, Milk, Wheat",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Meals & Entrees
            ,
                 Meatless
             "
B07NRQZ8WX,"365 by Whole Foods Market, Calamari Breaded Wild Frozen, 12 Ounce",https://m.media-amazon.com/images/I/51nxXLwlyGL.jpg,4.1,"2,087 ratings"," 365 by Whole Foods Market products give you that dance-down-the-aisles feeling, virtual aisles too! Our huge range of choices with premium ingredients at prices you can get down with makes grocery shopping so much more than tossing the basics in your cart.  ","Brand: 365 by Whole Foods Market,Weight: 0.75 Pounds,Specialty: Wild Caught,Allergen Information: Wheat,Item Form: Frozen",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Meals & Entrees
            ,
                 Meatless
             "
B09GL33XZG,"HMR Ultimate Entree Variety Pack, 17 Different Ready to Eat Meals, 7-8oz. Servings, 17 Meals",https://m.media-amazon.com/images/I/41tbj+XvZLL.jpg,4.2,310 ratings," Delicious and satisfying HMR Entrees – includes a variety of healthy meals to help with your weight-loss goals. 17 meals total.  , Lower calorie versions of your favorite meals. Whether you love cheese, pasta, chicken, beef, or grains, this pack has it all. Entrees range between 160-260 calories, and 10-20g protein.  , No refrigeration needed, making these shelf-stable meals ideal for work or travel.  , Ready in just a minute, HMR meals are quick and convenient options to help you cut calories and manage your weight at lunch or dinner.  , Tastes great on its own, or add your favorite vegetables for a delicious custom meal. Meals shown with added vegetable suggestions.  ","Brand: HMR,Package Information: Box,Flavor: 17 Pack,Size: 17 Count (Pack of 1)",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                 Meals & Entrees
             "
B095V4XKG8,"Kvarøy Arctic Frozen Salmon Fillet (2x2 lbs Portion Packs) - Sustainably Raised Natural Atlantic Salmon Fillets - Fair Trade Certified, Easy to Make & Filled with Omega 3s, Stock up the Freezer Salmon Portions",https://m.media-amazon.com/images/I/41Ixym9u1cL.jpg,4.6,56 ratings," TASTES LIKE THE DAY OF HARVEST: Using advanced technology we rapidly freeze our fish patties at extremely low temperatures, which maintains the integrity and texture of the fresh salmon fillets to give you the same great taste you would expect if it were freshly caught.  , HEALTHY NEVER TASTED SO GOOD: Not only does our grilled salmon frozen taste great, you won’t find another healthy food option that’s packed with a week's worth of Omega-3s and is gluten-free, keto-friendly, and non-GMO.  , EASY TO MAKE: Our grill pack couldn’t be more convenient—simply choose which of the options you want to eat, let them thaw, and then throw them on the grill, broil, or pan-fry them!  , FROM THE ARCTIC CIRCLE: Sustainably raised in the waters off the coast of Norway. We have a deep-fjord current that keeps the environment pristine and helps exercise the fresh sliced salmon frozen fillets, reducing fat levels and giving this beautiful frozen fish fillet a pure, clean flavor.  , FAMILY OWNED: Kvaroy Arctic is a third-generation, family-owned business, who raises sustainable seafood salmon in the Arctic waters of Norway. The result of their hard work is a healthy, sustainably delicious boneless salmon packet that is celebrated by chefs and consumers around the globe.  ","Brand: KVAROY ARCTIC SALMON,Weight: 2 Pounds,Specialty: GMO Free, Gluten Free,Diet Type: Keto, Gluten Free,Item Form: Fillet",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Seafood
            ,
                 Frozen Fish
             "
B07D83162X,"CLIF BARS - Energy Bars - Best Sellers Variety Pack- Made with Organic Oats - Plant Based (2.4 Ounce Protein Bars, 16 Count) Packaging & Assortment May Vary (Amazon Exclusive)",https://m.media-amazon.com/images/I/516+NrScAvL.jpg,4.7,"19,769 ratings"," NUTRITION FOR SUSTAINED ENERGY: CLIF BAR is The Ultimate Energy Bar, purposefully crafted with an ideal mix of protein, fat, and carbohydrates to sustain active bodies before and during long-lasting, moderate-intensity activity.  , WHOLESOME INGREDIENTS THAT ARE BETTER FOR THE PLANET: Keeping your energy up never felt so good. As part of our mission to help create a healthier, more sustainable food system, we make every bar with sustainably sourced ingredients like chocolate and wholesome, plant-based ingredients like peanuts and rolled oats.  , DELICIOUS FLAVORS, ENDLESS VARIETY: Satisfy any taste with a dazzling array of craveable CLIF BAR flavors, including classic favorites like Chocolate Chip and Crunchy Peanut Butter.  , ENERGY ON THE GO: Whether you need sustained energy for hiking, climbing, skiing, or a long bike ride, CLIF BAR delivers wholesome, delicious energy that’s all wrapped up and ready to go.  , VALUE PACK: Includes 16 CLIF BARS in a variety of delicious flavors - packaging & assortment may vary  ","Flavor: Variety Pack,Age Range (Description): Adult,Total Eaches: 1,Weight: 2.66 Pounds,Allergen Information: Soy, Tree Nuts, Wheat, Milk, Peanuts, Macadamia Nuts, Sesame Seeds, Almonds",,"
                Health & Household
            ,
                Diet & Sports Nutrition
            ,
                Nutrition Bars & Drinks
            ,
                Nutrition Bars
            ,
                 Endurance & Energy Bars
             "
B08VBDS18W,"365 By Whole Foods Market, Chicken Nugget Breaded Gluten Free Frozen Step 2, 22 Ounce",https://m.media-amazon.com/images/I/41fY0txLRVL.jpg,4.1,36 ratings," 365 by Whole Foods Market products give you that dance-down-the-aisles feeling, virtual aisles too! Our huge range of choices with premium ingredients at prices you can get down with makes grocery shopping so much more than tossing the basics in your cart.  ","Brand: 365 By Whole Foods Market,Weight: 22 Ounces,Diet Type: Gluten Free,Package Weight: 1.47 Pounds,Biological Source: Chicken",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Meats
            ,
                Chicken
            ,
                 Nuggets & Tenders
             "
B0012S752A,"El Monterey Beef and Bean Chimichangas – Family Pack of 8 Frozen Chimichangas, Made with Real Beef, No Artificial Colors, Perfect for Quick Family Meals (8 Count)",https://m.media-amazon.com/images/I/51dry4v4ktL.jpg,4.5,"1,800 ratings"," DELICIOUS BEEF AND BEAN CHIMICHANGAS – Bite into El Monterey Beef and Bean Chimichangas and your taste buds will delight in savory beef, flavorful beans and authentic Mexican spices wrapped in a lightly-fried, fresh-baked flour tortilla. It’s America’s #1 frozen burrito for good reason!  , REAL BEEF – Made with real beef and no artificial colors, you can feel great about serving your family this frozen Mexican dinner for a snack or meal. Best of all, it’s a hearty, filling meal the whole family will love.  , GOOD SOURCE OF PROTEIN – These frozen chimichangas are a good source of protein, with 9 grams per serving.  , DELICIOUS MEAL IN MINUTES – Ready in just minutes, these frozen chimichangas are the perfect dinner or snack choice for busy families. You don’t have to sacrifice taste when you’re too busy to cook!  , A FAMILY BRAND YOU CAN TRUST – Steeped in taste and tradition for over 50 years, El Monterey makes authentic Mexican food from our family recipes with delicious ingredients you can taste and see - fresh-baked tortillas, juicy beef and savory beans.  ","Brand: El Monterey,Item Form: Solids,Cuisine: Mexican,Flavor: Beef,Weight: 2.1 Pounds",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Meals & Entrees
            ,
                 Beef
             "
B003VYDE00,"Thai Kitchen Gluten Free Stir Fry Rice Noodles, 14 oz (Pack of 6)",https://m.media-amazon.com/images/I/518MmxlOMLL.jpg,4.6,"2,107 ratings"," Steamed rice noodles, not fried  , Gluten free, vegan  , Wheat-free and egg-free  , Easy to prepare, great addition to Pad Thai and other stir-fry dishes  , FUN FACT: Rice noodles give your Southeast Asian stir-fry the traditional Thai rice taste and texture you’re craving  ","Brand: Thai Kitchen,Variety: Rice,Weight: 14 Ounces,Number of Items: 6,Package Information: Box",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Pasta & Noodles
            ,
                Noodles
            ,
                 Rice
             "
B08Y6JQQ77,Cameron's Seafood Alaskan Snow Crab Legs (6 Pounds),https://m.media-amazon.com/images/I/51uOLA6HqrL.jpg,3.7,25 ratings," Highest quality snow crab legs from Alaska  , Approximately 5 clusters/3 lbs  , Serving size: 1½ - 2 lbs./person  , Ships frozen with dry ice  , Fully cooked, ready to reheat (instructions included)  ","Brand: CAMERON'S SEAFOOD -EST. 1985 -,Weight: 6 Pounds,Variety: Crab",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                 Seafood
             "
B09HLFWLN5,"FEEL GOOD FOODS Blueberry Pancake Bites, 12.7 OZ",https://m.media-amazon.com/images/I/41CFqlLTsjL.jpg,4.3,499 ratings," No hydrogenated fats or high fructose corn syrup allowed in any food  , No bleached or bromated flour  , No synthetic nitrates or nitrites  ","Flavor: Blueberry,Brand: Feel Good Foods,Weight: 12.7 Ounces,Allergen Information: Eggs, Milk,Package Information: Bag",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Breakfast Foods
            ,
                Pancakes & French Toast
            ,
                 Pancakes
             "
B074VDJ7NH,"365 by Whole Foods Market, Vegetable Egg Rolls, 4 Count, (Frozen)",https://m.media-amazon.com/images/I/41cPXzexuQL.jpg,4.0,"3,707 ratings"," Heads up! This product’s package is getting a makeover, transitioning from Whole Foods Market to 365 brand. Best of all, it’s the same deliciousness on the inside  , Amazing products, exceptional ingredients, no compromises. Our Vegetable Egg Rolls have a crisp, flaky crust that surrounds a seasoned mix of green cabbage, edamame, water chestnuts, carrots, celery, onion and brown rice. Serve hot with your favorite dip or sweet and sour sauce. Our Vegetable Egg Rolls have a crisp, flaky crust that surrounds a seasoned mix of green cabbage, edamame, water chestnuts, carrots, celery, onion and brown rice. Serve hot with your favorite dip or sweet and sour sauce.  , Chinese cuisine.  , Ready in 4 minutes.  , Certified GMO-Free.  ","Brand: 365 by Whole Foods Market,Cuisine: Asian,Flavor: Egg,Weight: 0.75 Pounds,Size: 12 Ounce (Pack of 1)",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                 Appetizers & Snacks
             "
B07WJMB9PQ,"Bertolli Frozen Skillet Meals Family Size Chicken Florentine & Farfalle, 36 oz",https://m.media-amazon.com/images/I/51bRdLNCX8L.jpg,4.6,724 ratings," Savor a quick and delicious Italian pasta dish made with grilled white meat chicken with Farfalle and farm-grown spinach in a rich white wine and Parmesan sauce.  , This 36 oz package contains one frozen Bertolli family Size chicken Florentine & Farfalle skillet Meal; contains soy, egg, wheat, and milk.  , Deliciously simple Italian inspired cuisine, Bertolli frozen skillet meals are made with quality ingredients.  , Conveniently treat yourself to delicious, Italian flavor in the comfort of your own Home; Simply prepare over the stove in a skillet and your meal is ready in minutes.  , Bertolli flavorful frozen skillet meals are thoughtfully prepared in Italian tradition. Frozen meals, fresh taste.  ","Brand: Bertolli,Flavor: Chicken,Weight: 36 Ounces,Size: 2.25 Pound (Pack of 1),Allergen Information: Wheat",,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Meals & Entrees
            ,
                 Chicken & Turkey
             "
B07YHG3X9Z,"365 by Whole Foods Market, Meatballs Plant Based, 10.5 Ounce",https://m.media-amazon.com/images/I/511bxOBQpKL.jpg,4.5,"3,301 ratings"," 365 by Whole Foods Market products give you that dance-down-the-aisles feeling, virtual aisles too! Our huge range of choices with premium ingredients at prices you can get down with makes grocery shopping so much more than tossing the basics in your cart.  ",,,"
                Grocery & Gourmet Food
            ,
                Frozen
            ,
                Meats
            ,
                 Meatballs
             "
