asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B001EQ5NHE,"Spam Classic, 12 Ounce Can (Pack of 12)",https://m.media-amazon.com/images/I/51yhO4j3ANL.jpg,4.8,"7,487 ratings"," Canned luncheon meat brand  , Fully cooked canned pork with ham  , 6 simple ingredients; 0 grams trans fat per serving; 0 grams sugar per serving  , 7 grams of protein with 180 calories per serving  , Shelf stable; does not require refrigeration until after it's opened  ","Brand: SPAM,Size: 12 Ounce (Pack of 12),Flavor: Classic,Weight: 9 Pounds,Cuisine: US",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Canned, Jarred & Packaged Foods
            ,
                Meat, Poultry & Seafood
            ,
                 Spiced Meat
             "
B08LLGPMQ4,"Fresh Brand – Beef Chuck Center Roast, USDA Choice, Boneless, 2 lb",https://m.media-amazon.com/images/I/517+FWG43-L.jpg,4.6,"4,809 ratings"," Boneless beef chuck center roast weighing 2 pounds  , USDA Choice  , Product of the USA  , Classic cut for pot roast, stew, or soup  , Our beef is delivered in an easy-to-open, leak-proof casing. The freezer-ready packaging allows the meat to stay fresh longer.  , Our Fresh brand products are all about high-quality food that fits every budget, every day.  , An Amazon Brand  ","Brand: Fresh,Size: 2 pounds,Flavor: Beef,Cuisine: Usa,Package Weight: 0.9 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Beef
            ,
                Roasts
            ,
                 Chuck Roast
             "
B00HDC09OA,"Slim Jim Giant Smoked Meat Stick, Original Flavor, Keto Friendly, 0.97 Ounce (Pack of 24)",https://m.media-amazon.com/images/I/41lHDM6FYzL.jpg,4.6,"13,812 ratings"," Includes one 24-count box of 0.97-ounce Slim Jim Original Flavor Giant Size Smoked Meat Sticks  , Each individually wrapped snack stick is made to please your carnivorous cravings with a bold taste your taste buds will love  , Enjoy this beefy protein snack food for an easy, on-the-go meat feast that’ll kick hunger to the curb  , The intensely bold Original flavor is prime for snack foods, lunchtime, after school or anytime  , Keto Friendly Meat Snack that fits a low carb lifestyle - 6g of Protein, 4g Net Carbs (5g Total Carbs minus 1g Dietary Fiber), and 1g Added Sugar per serving  ","Brand: Slim Jim,Flavor: Original,Item Form: Meat Stick,Stick,Biological Source: Cow,Package Type: Bag",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Meat Snacks
            ,
                 Jerky
             "
B07VRLY718,"Jerky Variety Pack by Think Jerky — Delicious Chef Crafted Jerky — 100% All-Natural Grass-Fed Beef and Free-Range Turkey — Healthy Protein Snack Low in Calories, Salt and Fat — 1 Ounce (8 Pack)",https://m.media-amazon.com/images/I/51SUr039wcL.jpg,4.3,"1,121 ratings"," MOUTHWATERING BEEF AND TURKEY JERKY IN A GOURMET SNACK — Indulge in this healthy and flavorful jerky goodness that is crafted by award-winning Chefs to produce satisfying mouthwatering snacks that are made of 100% pasture-raised/free-range jerky so you can enjoy it without guilt.  , HEALTHY LOW-FAT, LOW-CALORIE AND LOW-CARB JERKY PERFECT FOR YOUR ACTIVE LIFESTYLE — Each bag of jerky is low in calories and fat! We give you only the finest cuts of beef and turkey that are hormone-free, antibiotic-free, gluten-free, nitrate-free, preservative-free and non-GMO.  , GREAT TASTING, HIGH PROTEIN AND ALL-NATURAL PALEO SNACK — Stop settling for boring protein bars and shakes! These high protein jerky snacks will satisfy your taste buds and supercharge you after workouts while minimizing your sugar and salt intake.  , DELICIOUS CHEF-CRAFTED JERKY — This jerky is a culinary masterpiece crafted by Food Network hosts, Michelin-Star winners and James Beard Award winners to ensure you are delighted by the robust flavors and quality in every bite that have been slow-cooked and seasoned to perfection.  , AWARD-WINNING JERKY SNACK MADE IN THE USA — Treat yourself to our highly acclaimed healthy jerky snacks that have been named “Healthiest Jerky” by SELF Magazine, “Jerky for Foodies” by Men’s Health and “Best Jerky” by Eat This, Not That! All our products are produced from only the finest ingredients and made in the USA.  ","Brand: Think Jerky,Flavor: Jerky Variety Pack,Item Form: Strip,Biological Source: Turkey, Cow,Package Type: Bag",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Meat Snacks
            ,
                 Jerky
             "
B0872S88S7,"Original Grass-Fed Beef Sticks by Think Jerky — Sugar Free, Gluten Free, Non-GMO, No Nitrates Jerky Snack — Keto, Paleo, Whole30 Compliant — High Protein, Low in Carbs — 0.5 oz (20 Pack)",https://m.media-amazon.com/images/I/413tGSHQR0L.jpg,4.3,329 ratings," SAVORY ORIGINAL FLAVOR BEEF JERKY STICKS — Indulge in this savory all-natural beef snack seasoned with a hint of pepper and crafted with 100% grass-fed beef that you can enjoy without guilt.  , PERFECT HEALTHY HIGH PROTEIN SNACK FOR KETO AND PALEO DIETS — Think Jerky beef sticks are the perfect healthy snack for keto and paleo diets. With 4g of protein and only 40 calories, these savory beef jerky sticks will keep you satisfied while minimizing your sugar, carb, fat, sodium and calorie intake.  , ALL-NATURAL & HIGH-QUALITY INGREDIENTS — Our beef sticks are made from only the finest cuts of hormone-free, antibiotic-free, gluten-free, nitrate-free, preservative-free and non-GMO grass-fed beef. With no artificial fillers or coloring our jerky sticks contain only the cleanest and healthiest ingredients.  , DELICIOUS CHEF-CRAFTED GOURMET FLAVOR — This flavor is a culinary masterpiece crafted by celebrity Chef Doug Sohn. Chef Sohn’s recipe combines savory beef with a hint of pepper for a modern twist on a classic flavor. Every bite has been slow-cooked and seasoned to perfection.  , AWARD-WINNING SNACK MADE IN THE USA — Treat yourself to our highly acclaimed healthy snacks that have been named “Healthiest Jerky” by SELF Magazine, “Jerky for Foodies” by Men’s Health and “Best Jerky” by Eat This, Not That! All Think Jerky products are ethically produced from only the finest ingredients and made in the USA.  ","Brand: Think Jerky,Flavor: Original Grass-Fed Beef,Item Form: Stick,Biological Source: Cow,Package Type: Box",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Meat Snacks
            ,
                 Jerky
             "
B00DM4PEFW,"Alaska Smokehouse Smoked Salmon Fillet, Gift Box, 8 Oz",https://m.media-amazon.com/images/I/51aTcl-5iPL.jpg,3.9,966 ratings," Traditional Native American Style Smoked Salmon (not lox) hand-filleted and soaked in a traditional Native American brine; Each fillet is inspected before being sealed in a gold foil pouch  , Shelf stable; No refrigeration needed until after you open the foil pouch  , 100% Naturally Wild Caught Alaskan Salmon, Never Farm Raised; No preservatives, coloring, oils, or artificial ingredients; Certified Kosher  , Hot smoked over alder fires  , Very high in Omega-3 Fatty Acids, High Protein, and Low Carb  ","Brand: Alaska Smokehouse,Weight: 8 Ounces,Specialty: Farm Raised, Preservative Free, Wild Caught, High Protein, Kosher Certified, Low Carb,Diet Type: Kosher,Item Form: Fillet",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Meat & Seafood Gifts
             "
B08CBYCLXJ,"Jack Link's Extra Thick Cut Steak Strips, Beef Jerky, Original Flavor, Ready to Eat Snack Bags, 9g of Protein, 70 Calories, Made with Premium Beef, 96 Percent Fat Free, 2.6 Oz (Pack of 4)",https://m.media-amazon.com/images/I/51sKpCAg6OL.jpg,4.4,550 ratings," GOOD SOURCE OF PROTEIN: With 9g of protein and 70 calories per serving, Jack Link’s Original Steak Strips are a must-have meat snack to have on hand to help you power thru your day!  , 100% PREMIUM BEEF: Jack Link's Original Steak Strips are made from 100% premium beef. No added MSG or Nitrates. Avoiding gluten? This item is also gluten free, look no further for the perfect snack!  , PORTABLE SNACKING: This pack contains 4, 2.6 oz bags that are perfect for snacking where ever and when ever you have the urge. Bags are resealable, so you can save some snacking for later on!  , FULL ON FLAVOR: Tender Texture, Extra Thick Cut, Premium Value, Hardwood Smoked, Deliciously Seasoned  , BEEF JERKY BUT MAKE IT STEAK: Customers view Steak Strips as more premium, more tender, and heartier than our Original Beef Jerky  ","Brand: Jack Link's,Flavor: Original,Item Form: Strip,Package Type: Bag,Weight: 2.6 Ounces",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Meat Snacks
            ,
                 Jerky
             "
B08QHK9XR7,DOL Natural Sun Dried Top Graded Japan Scallop Conpoy ホタテ貝 日本大干贝 瑶柱淡干 扇贝海鲜干 Grocery & Gourmet Food Meat & Seafood Seafood Dried Seafood Dried Scallops (Large 16oz/bag),https://m.media-amazon.com/images/I/41jbIyEfWuL.jpg,3.7,54 ratings," 100% natural, Fresh dried with 100% dryness;  , No chemical or preservative added the item.Famous Asian dried cuisine ingredient, usually add to used in soups, stews, sauces, and other dishes to give the dish a rich umami flavor.  , If you are not satisfied with our product, you are protected by our no questions asked, money-back guarantee.All DOL products support 30 days Return without reason.  , 需要發往：中國大陸、香港、台灣的客戶，下單時須選擇“賣家發貨”，填寫收貨國家收件人的姓名、地址、電話，備註欄可以說明需求，下單後 15-20个工作日到達。  , If you have any questions or after-sales service needs, please feel free to send us a message and email, or leave your question in the Q&A section below!  ","Brand: DABC OAK LAND,Package Weight: 1 Pounds,Variety: Scallop",,"
                Grocery & Gourmet Food
            ,
                Meat & Seafood
            ,
                Seafood
            ,
                Dried Seafood
            ,
                 Dried Scallops
             "
B009LHPLOI,"Wine Country Gift Baskets Gourmet Cheese and Salami Gift, Gourmet Food",https://m.media-amazon.com/images/I/518YZevWvKL.jpg,4.0,112 ratings," A GREAT GIFT FOR ALL OCCASIONS: Perfect as an anniversary basket for couples a congratulations gift basket college care package corporate gift basket Ideal and unique gift as a housewarming gift basket Retirement gift birthday gift get well soon gift and more  , ECO-FRIENDLY BAMBOO CUTTING BOARD:This bamboo cutting board is piled high with Wine Country favorites  , READY TO ENJOY GOURMET FOOD: Daniele sopressata salami, hot honey crunch mix, hummus, pretzel sticks, naan crisps, bacon and cheddar cheese spread and more  , GUARANTEED SATISFACTION: Wine Country Gift Baskets is a high quality brand that your loved one or friends will appreciate; our gift baskets are hand assembled and include some of the top brand named ingredients that we know you'll love  , PERSONALIZED GIFT MESSAGES: When ordering select as a gift and your sentiment can be sent for free with a personalized gift message  ","Brand: Wine Country Gift Baskets,Age Range (Description): 24 Months and Above,Flavor: Gourmet Food,Weight: 6 Pounds,Size: 6 Pound (Pack of 1)",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Meat & Seafood Gifts
             "
B08WCSXSXQ,Shaffer Venison Farms Meat Snack Gift Bag- 1 Snack Stick in each of our 12 Flavors,https://m.media-amazon.com/images/I/41xbccEBuLL.jpg,3.6,2 ratings," GREAT GIFT: Comes in our own Gift Sack. Perfect for any holiday!  , TASTY SNACK- Quantity 12- 1 ounce Sticks. 1 of each of our 12 flavors containing: Original Venison, Hot Venison, Pepper Venison, Teriyaki Venison, Sweet & Smokie Venison, Vension&Cheddar, Elk, Elk&Cheddar, Wild Boar, Water Buffalo, Venison Jerky, Sweet Garlic Elk Jerky,  , SAMPLE ALL OF OUR FLAVORS: Smoked in our own smokehouse for hours to give a great flavor  , (USA)PENNSYLVANIA MADE- Family owned and operated business since 1998  , HEALTHY TREAT- Great tasting and low calorie snack HANDY SIZE- Great for the putting in lunch boxes, sharing with the kids, or trips on the road.  ","Brand: Shaffer Venison Farms,Flavor: Cheddar,Garlic,Smoked,Buffalo,Item Form: Stick,Package Type: Bag,Weight: 1 Ounces",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Meat & Seafood Gifts
             "
B00QHAXV5S,Gluten-Free Gourmet Italian Meat Gift Crate - over 3.8lb of meat!,https://m.media-amazon.com/images/I/51JiZBEPTXL.jpg,4.3,60 ratings," New for 2020 - now packaged in a gift crate for an impressive presentation  , Specially selected dry-cured Italian meats representing 5 different regions of Old World Italy  , Includes Italian classics like pepperoni and salami in addition to artisan wine cured specialty products.  , Gourmet Italian meat ready to slice and pair with your favorite wine and cheese, or put on pizza, etc  , Certified gluten free  ","Brand: Battistoni,Size: 8 Piece Assortment,Flavor: Cheese,Weight: 7 Pounds,Cuisine: Italian",,"
                Grocery & Gourmet Food
            ,
                Food & Beverage Gifts
            ,
                 Meat & Seafood Gifts
             "
