asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B07H9KTRNX,"Textured Vegetable Protein (TVP) Taiwanese Vegan Beef Slice - Premium Texturized Imitation Beef, 100% Vegan Meat Substitute Non-GMO, No MSG",https://m.media-amazon.com/images/I/51Rt9tfRv+L._AC_.jpg,4.4,199 ratings," PREMIUM GRADE imitation beef that will transform any beef recipe into a meatless, healthier dish  , TEXTURED like real beef. 100% Non-GMO vegetable protein, no MSG.  , 100% VEGAN and KETO-friendly.  , EAT HEALTHY Each serving contains thirteen grams of protein, 20 mcg of calcium, 2 mg of iron and 570 mg of potassium.  , EASY TO COOK with any recipe such as stew, bbq or stir fry.  ","Brand: Verisoy,Size: 7 Ounce (Pack of 1),Flavor: Beef,Item Weight: 7 Ounces,Cuisine: US",,"
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Meatballs, Chunks & Crumbles
             "
B07K71M2Z8,"Loma Linda - Plant-Based Meats (Vegetarian Burger (20 oz.), 6 Pack)",https://m.media-amazon.com/images/I/51KRXLyvTzS.jpg,4.7,"1,484 ratings"," Loma Linda - Plant-Based Meats (Vegetarian Burger (20 oz.), 6 Pack)  ",," Flavor Name: , Vegetarian Burger (20 oz.) ","
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Burgers & Patties
             "
B09KYFXC25,"Mr. Cauliflower Plant Based Cauliflower Taco Meat Gluten Free Meat Alternative Keto & Paleo Friendly, 3oz, (Pack of 3)",https://m.media-amazon.com/images/I/51Bwt2gKobL.jpg,,," MADE WITH SIMPLE, BETTER-FOR-YOU INGREDIENTS - Made with plant-based ingredients with no GMO's, soy, or gluten.. It's great for when you want to eat vegetarian, vegan, or when you just want to eat something delicious. You won't mist the meat!  , MINIMALLY PROCESSED - Our proprietary drying process creates a toasted cauliflower that is full of flavor and packed with nutrients. There are no refined flowers or starches added. No refrigeration needed (18 month shelf life).  , THE WONDERS OF CAULIFLOWER - Cauliflower is naturally high in fiber, B vitamins, and low in calories. It's very keto and paleo friendly. Cauliflower is also high in antioxidants.  , SIMPLE PREPARATION - Just add water and simmer on your stovetop. No additional ingredients are needed to make a delicious pot of taco meat.  , FOUR HEARTY SERVINGS PER BOX - Each box makes over 1lb of taco meat. That's enough meat for 12 nice sized tacos.  ",,,"
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Meatballs, Chunks & Crumbles
             "
B08L9N1DZJ,"Plant Basics - Hearty Plant Protein - Unflavored Ground, 1 lb, Non-GMO, Gluten Free, Low Fat, Low Sodium, Vegan, Meat Substitute",https://m.media-amazon.com/images/I/51nSKJUUShL.jpg,3.8,18 ratings," BRING VEGAN RECIPES TO LIFE - Make your mealtimes fun and deliciously delightful with our versatile and protein-packed Vegan Meat. Rustle up Tacos and Burritos. Make a hearty Chili and casseroles! Ideal for hundreds of vegan and vegetarian recipes, our Hearty Plant Protein gives you easy meaty goodness the vegan way!  , GIVE IT YOUR FAVORITE FLAVOR - This Hearty Plant Protein Ground comes unflavored so you can season/marinate them to perfection. Simply boil your succulent hearty plant protein ground in broth or water then infuse them with your favorite herbs, spices and sauces. The result? A quick and easy meat substitute you just won’t be able to resist!  , SATISFYING MEATY TEXTURE - Enjoy a beautifully satisfying meat-like texture with every bite. Specially made to offer a superior texture, this delectable meat alternative can be used in recipes in place of chicken, beef, pork, and more. Enjoy a texture close to the real thing and never go back to tofu again!  , CRAMMED FULL OF PROTEIN - Our vegan meat substitute contains a mighty 14g of plant protein with each serving, giving you a nutritious protein punch in every bite! Nourish and strengthen your body with optimal nutrition while enjoying the filling and satisfying sensation of a healthy protein-rich meal. Add protein to any dish at mealtimes!  , NON-GMO & GLUTEN FREE - Eat clean. Eat healthy. Eat meat-free. Every bite of our vegetarian meat alternative is Non-GMO, Gluten-Free, Low Fat, Low Sodium, Cholesterol-Free and 100% Kosher. So buy today with total peace of mind - you’re covered by our 30 Day ‘Protein Promise’ Money Back Guarantee!  ","Brand: Plant Basics Plant Based Meat Substitutes,Weight: 16 Ounces,Size: 1 Pound (Pack of 1)",,"
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Meatballs, Chunks & Crumbles
             "
B07R6TRHQ2,Beyond Meat Beyond Beef Plant-Based Ground 16 oz,https://m.media-amazon.com/images/I/51KTKAFdAVL.jpg,4.6,"6,669 ratings"," DELICIOUS & VERSATILE: If you can name it, beef can make it - from tacos and empanadas to sliders and beyond  , EXCELLENT SOURCE OF PROTEIN: 20 grams of plant-based protein per serving from peas and brown rice. See nutrition panel for fat, sat fat and sodium content.  , BETTER-FOR-YOU: each serving has 35% less saturated fat than 80/20 ground beef and no cholesterol  , LESS IS MORE: made with simple, plant-based ingredients with no GMOs, soy or gluten. All of Beyond Meat products are vegan, kosher and have no antibiotics or hormones  , 1LB OF BEEF PER PACK: a convenient one-to-one swap for all your favorite recipes  ","Brand: BEYOND MEAT,Size: 16 Ounce Package,Flavor: Ground Beef Substitute,Weight: 453 Grams,Cuisine: US",,"
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Meatballs, Chunks & Crumbles
             "
B0954QMKZQ,"Vegan Chicken Protein MEDITERRANEAN– Plant Based Chick'n Mix, Meat Substitute, Soy Free Meatless Products, Crumbles, Meatballs -Kosher, Keto & Paleo Friendly (2 Pack)",https://m.media-amazon.com/images/I/51xq7VF5KeL.jpg,3.9,151 ratings," MIX. SHAPE. COOK – Just add water and oil to create a Mediterranean seasoned chicken substitute crumble mix that can be shaped into anything. Perfect for Kabobs, Falafels, and Gyro recipes. Suitable for most cooking styles: pan fried, oven baked, air fried, grilled etc.  , SOY- FREE TEXTURED VEGETABLE PROTEIN – 21g of Protein per serving – Made from dried textured wheat and pea protein (contains gluten). GMO free, cholesterol free, rich in Vitamin B12, Plant Based, Animal free, and no preservatives.  , CLEAN INGREDIENTS – Meat substitutes are filled with chemicals. Our Chickenless Mix is one of the cleanest chicken-free options in the market, so you can finally enjoy a healthy and delicious meat substitute. No refrigeration required for dry mix (1yr shelf life).  , VEGAN GROUND CHICKEN – A simple vegan solution for meatless home cooked meals. A well balanced texture with a Mediterranean flavor in every bite.  , 1LB OF CHICK’N PER POUCH – One box can make FOUR 4oz chick’n breasts, TWELVE 1.5inch meatballs, or 1LB of ground chick’n. Cook what you need and refrigerate the rest in a closed lid container (up to 48hrs).  ",," Flavor: , Mediterranean ","
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Strips & Cutlets
             "
B0198GSQD4,"Moo Gloo Value Pack - Transglutaminase [TG, Meat Glue] 150g/6oz. (Bundle with 3 items)",https://m.media-amazon.com/images/I/51LOIVKHcaL.jpg,4.4,49 ratings,,,,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                 Dried Seaweed & Nori
             "
B07227BB7J,"Field Roast Vegetarian Apple Maple Breakfast Sausage, Frozen, 9.3 Oz",https://m.media-amazon.com/images/I/51HrRDrZI-S.jpg,4.2,"3,362 ratings"," Field Roast Sausages Apple Maple, 9.3 oz  , Best quality product  ","Brand: Field Roast,Weight: 0.58 Pounds,Specialty: Vegetarian, Vegan,Diet Type: Vegan,Package Weight: 0.32 Kilograms",,"
                Grocery & Gourmet Food
            ,
                 Meat Substitutes
             "
B0916M8976,PLANT BOSS Unseasoned Plant Crumbles | Organic Meatless Crumbles | 18g Protein Per Serving | Soy-Free | 9.52 oz bag | Pack of 6,https://m.media-amazon.com/images/I/51dbKGPsXfL.jpg,4.7,33 ratings," EXCELLENT SOURCE OF PROTEIN - Plant Boss Unseasoned Plant Crumbles are a convenient meat substitute packed with 18g of protein per serving. It’s so delicious you’ll hardly believe these plant crumbles are plant-based. Meat has met its match.  , UNSEASONED - Our Unseasoned Plant Crumbles are made from organic yellow peas and have a mild, neutral flavor. Add your favorite seasonings to fit any dish. These meatless crumbles are a perfect addition to any meal, great for anything from tacos to tikka.  , ORGANIC AND SOY-FREE - These unseasoned plant-based crumbles are soy-free, made with organic yellow peas that are grown in North America. These are meatless crumbles with endless possibilities, and they’re made with only the best ingredients.  , EASY TO USE - Vegan crumbles are an easy-to-prepare addition to any meatless meal, and our vegan crumbles are easier to use than the other plant-based crumbles on the market - just mix with water and simmer for 15-20 minutes. That’s it!  , ABOUT US - Plant Boss is a new idea from Frontier Co-op, a hard-working little cooperative based in Iowa. We’ve been exploring the power of plants since 1976, and we’re excited to share these amazing meatless meal starters with you.  ",,,"
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Meatballs, Chunks & Crumbles
             "
B00T3LW20I,"Dixie Diners' Club - Beef (Not!) Ground, 1 lb bag (Pack of 2)",https://m.media-amazon.com/images/I/517RjcXNPWL.jpg,4.3,474 ratings,,," Size: , 1 Pound (Pack of 2) ","
                Grocery & Gourmet Food
            ,
                Meat Substitutes
            ,
                 Meatballs, Chunks & Crumbles
             "
