asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B008OGCMTY,"McCormick Culinary Minced Onion, 17 oz - One 17 Ounce Container of Dried Minced Onion Flakes, Perfect for Soups, Sauces, Meatballs, Relishes and Casseroles",https://m.media-amazon.com/images/I/41ea07Lj7mL.jpg,4.8,"4,111 ratings"," CONVENIENT ONION FLAVOR: McCormick Culinary Minced Onion delivers all the flavor of a half cup of onion in just 3 tablespoons to provide the high-intensity flavor you crave  , HIGH QUALITY: Contains the highest-quality onions and saves time with no chopping, slicing or peeling needed; enjoy faster cooking with less preparation time  , MADE FOR CHEFS: Sourced explicitly for chefs, McCormick dried minced onion flakes come in 17-ounce containers for easy use in back-of-house settings  , VERSATILE: Replace fresh onion with McCormick Culinary Minced Onion, particularly in dishes such as casseroles, relishes, meatballs, sauces and soups  , A BRAND YOU CAN TRUST: McCormick Culinary's granular onion powder makes the perfect addition to any seasoning and spice collection that prizes kosher items with no added MSG  ","Brand: McCormick Culinary,Item Form: Powders,Weight: 1.21 Pounds,Variety: Onion,Package Weight: 0.57 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Herbs, Spices & Seasonings
            ,
                Single Herbs & Spices
            ,
                 Onion
             "
B00DS842HS,"Organic Coconut Oil, Cold-Pressed - Natural Hair Oil, Skin Oil and Cooking Oil with Fresh Flavor, Non-GMO Unrefined Extra Virgin Coconut Oil (Aceite de Coco), USDA Organic, 16 oz",https://m.media-amazon.com/images/I/410mX2jnDBL.jpg,4.7,"68,517 ratings"," ✔️ Naturally Nourishing Coconut Oil for Hair - With its unique combination of natural fats, coconut oil helps hydrate hair and nourish the scalp. It’s ideal for use as a conditioner, detangler, or coconut oil hair mask.  , ✔️ Hydrate Naturally With Coconut Oil for Skin - Coconut oil organic is a naturally moisturizing body oil that can help skin feel soft, smooth and hydrated. Use our coconut oil for face as a makeup remover—or even as a natural alternative to massage oils.  , ✔️ Perfect Coconut Oil for Cooking and Baking - An unrefined coconut oil with a naturally high smoke point (350°F), this is the perfect cooking oil for baking, frying and sautéing. Our pure coconut oil is cold-pressed from fresh, organic coconuts, delivering a rich flavor and aroma.  , ✔️ A Kitchen and Beauty Staple - Whether you’re using our coconut oil for body moisturizer, as a coconut hair oil or as a cooking oil, it’s an all-natural, easy-to-use addition to any lifestyle. It’s perfect for keto, paleo, or gluten-free diets, or just as a tastier alternative to cooking with olive oil or butter.  , ✔️ USDA-Certified Organic & Non-GMO Project Verified - Using some of the world’s highest-quality organic coconuts, our cold pressed coconut Oil (aceite de coco) is USDA-Certified Organic, Non-GMO Project Verified, Certified gluten free, Keto and Paleo, plus its grown and harvested organically without the use of harmful chemicals or additives.  ","Brand: Viva Naturals,Flavor: Coconut,Net Content Volume: 16 Fluid Ounces,Item Package Quantity: 1,Import Designation: Made in USA",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Cooking Oils, Vinegars & Sprays
            ,
                Oils
            ,
                 Coconut
             "
B0083QJUL8,"Coombs Family Farms Maple Syrup, Pure Grade A, Dark Color, Robust Taste, 32 Fl Oz (Pack of 1)",https://m.media-amazon.com/images/I/41Khctk0UmL.jpg,4.8,866 ratings," 100% PURE MAPLE SYRUP: Coomb’s Family Farms makes high quality 100% pure Vermont maple syrup perfect for pancakes, waffles, French toast, and any other recipe. Harvested from ancient sugar maple trees and hand crafted using traditional, artisanal health spout taps, our syrup is a pantry staple.  , GRADE A DARK COLOR AND ROBUST FLAVOR: With a deep hue and robust maple flavors, this versatile Grade A syrup is great as a topping and for cooking. Its strong maple flavor also lends itself to meat glazes, grill marinades, and on top of waffles, pancakes, and oatmeal.  , RESPONSIBLY SOURCED: Coombs Family Farms has produced pure, great tasting maple syrup for seven generations. We farm our own land, produce 100% pure maple syrup and package our own pure maple products. Coombs also sources maple syrup from over 3,000 small independent family farms that share our commitment to quality, environmental stewardship, and sustainable forest management.  , “A NATURAL FOOD”: This 100% pure Vermont maple syrup is harvested from pesticide free farms. Containing no artificial flavors, preservatives, or dyes, this Grade A syrup is non-GMO, gluten-free, nut-free, and Kosher Certified.  , PROTECT A WAY OF LIFE: At Coombs Family Farms, we support small family farms because we believe they provide more than high quality food. They help restore those lost feelings of connection and meaning by providing opportunities for us to play a better role in determining where the foods we eat come from, how our food is produced, and how it gets to our table. Small farms also strengthen rural economies, preserve important ecosystems, and help to protect a healthy way of life.  ","Brand: Coombs Family Farms,Volume: 32 Fluid Ounces,Number of Items: 1,Weight: 0.03 Pounds,Item Form: Liquid"," Product Packaging: , Frustration-Free Packaging ","
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Baking Syrups, Sugars & Sweeteners
            ,
                 Maple Syrup
             "
B07J4JSQCP,"Prego Garden Harvest Mushroom & Green Pepper Italian Sauce, 1.48 Pound (Pack of 6)",https://m.media-amazon.com/images/I/51SxusYNo2L.jpg,4.5,949 ratings," Enjoy chunks of mushrooms & peppers  , No artificial flavors  , 40% of daily vegetables [EACH 1/2 CUP SERVING OF SAUCE PROVIDES 1 CUP EQUIVALENT OF VEGETABLES. DIETARY GUIDELINES RECOMMEND 2 1/2 CUPS OF A VARIETY OF VEGETABLES PER DAY FOR A 2,000 CALORIE DIET]  , Gluten free  , Use as an ingredient or shortcut for dishes your family will love  , Vegetarian  ","Flavor: Mushroom & Green Pepper,Brand: Prego,Package Information: Cup,Weight: 23.75 Ounces,Package Weight: 6.39 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Sauces, Gravies & Marinades
            ,
                Sauces
            ,
                Italian
            ,
                 Pesto
             "
B000N8N45W,"Annie Chun's - Noodle Bowl, Thai-Style Peanut Sesame Flavor, Instant & Microwavable, Non-GMO, Vegan, Healthy & Delicious, 8.7 Oz (Pack of 6)",https://m.media-amazon.com/images/I/51pUtqdUstL.jpg,4.3,"7,252 ratings"," QUICK & SIMPLE MEAL: Easy-to-enjoy with no stressful prep, each bowl brings you a hearty meal anytime of the day.  , GRAB & GO: Packaged in a microwave-safe container, our noodles are ready to eat in just 2 minutes. Perfect for students, busy professionals, campers, and anyone who needs a quick meal!  , HEALTHY & GOURMET: With the additional toppings of bok choy, cabbage, sesame seeds, and roasted peanuts, our noodles are filled with nutrients. Vegan, Non-GMO, Low saturated fat, our ingredients are free of trans fat and cholesterol.  , SAVORY & FRESH: Our rich and flavorful sauce mixed in with the most tender Hokkien noodles, this Thai dish with satisfy all your cravings. Crunchy texture from the peanuts, a satisfying dish for any peanut lovers.  , LEADING PRODUCER OF GOURMET PAN-ASIAN FOODS: Annie Chun’s makes delicious, easy-to-prepare, Asian-inspired dishes that you can feel good about. That’s our promise, and we don’t take it lightly. Enjoy!  ","Brand: Annie Chun's,Weight: 8.7 Ounces,Number of Items: 6,Flavor: Peanut Sesame,Allergen Information: Soy",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Canned, Jarred & Packaged Foods
            ,
                Packaged Meals & Side Dishes
            ,
                 Pasta & Noodle Dishes
             "
B09NQ83494,"Macaroni and Cheese by Cracker Barrel in 4 Variety Packs - Sharp Cheddar, Cheddar Havarti, Sharp White Cheddar Flavor and Parmesan White Cheddar, An Instant Mac and Cheese Dinner Meal for the Whole Family, Pantry Staples",https://m.media-amazon.com/images/I/51xW77hrQdL.jpg,4.7,5 ratings," VARIETY PACKS OF CRACKER BARREL. Includes Sharp Cheddar, Cheddar Havarti, Sharp White Cheddar and Parmesan White Cheddar Macaroni and Cheese for a deliciously different family meal. Each box makes about 4 servings to prepare as an easy dinner or fast family side dish.  , CRACKER BARREL MACARONI AND CHEESE. Contains no artificial flavors or dyes, offering a taste so creamy and full of flavor, one bite will keep you coming back for more.  , MADE USING A UNIQUE AGING PROCESS. Cracker Barrel lovingly aged their cheese and grade it multiple times through the cheese making process that gives the cheese its delicious, bold sharpness, making a flavorful macaroni and cheese.  , EASY PREPARATION. It is as easy as 1 2 3. - 1. BOIL the macaroni in water for 11 to 12 minutes, 2. SQUEEZE in the cheese sauce and 3. MIX. Dinner is ready in just a few minutes.  , PANTRY STAPLES. Always keep these instant mac and cheese dinners on hand and stock some in your pantry. Get 4 variety packs of Cracker Barrel Macaroni and Cheese (1 box of 14 ounce Sharp Cheddar, 1 box of 14 oz Cheddar Havarti, 1 box of 14 oz Sharp White Cheddar and 1 box of 12 oz Parmesan White Cheddar) in a single order. Make sure to order now before our stocks last.  ","Package Weight: 1.78 Kilograms,Material Type Free: No Artificial Flavors,Flavor: Cheddar",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Canned, Jarred & Packaged Foods
            ,
                Packaged Meals & Side Dishes
            ,
                 Macaroni & Cheese
             "
B071CDLM1Q,"Knorr Rice Side Dish, Creamy Chicken, 5.7 oz (8-Count)",https://m.media-amazon.com/images/I/51GJ6MbcJpL.jpg,4.7,"4,794 ratings"," Knorr Rice Sides Creamy Chicken Rice is a rice and pasta blend side dish that enhances meals with amazing flavor  , Our Creamy Chicken Rice expertly combines onions, carrots, rosemary and garlic with the creamy goodness of a chicken flavored sauce  , Knorr Creamy Chicken Rice Sides contains no artificial flavors, no preservatives, and no added MSG except those naturally occurring glutamates  , Knorr Rice Sides are quick and easy to prepare they cook in just 7 minutes on the stovetop, or in the microwave  , Creamy Chicken Rice can be part of a delicious Knorr recipe, or can be enjoyed as a rice side dish on its own  , You can easily prepare Knorr Rice Sides Creamy Chicken Rice on the stove or in a microwave  ","Flavor: Creamy Chicken,Brand: Knorr,Weight: 5.7 Ounces,Package Weight: 1.49 Kilograms,Variety: Pasta,Rice",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Canned, Jarred & Packaged Foods
            ,
                Packaged Meals & Side Dishes
            ,
                Rice Dishes
            ,
                 Seasoned Rice
             "
B0083QJU72,"Coombs Family Farms Maple Syrup, Organic, Grade A, Dark Color, Robust Taste, 32 Fl Oz",https://m.media-amazon.com/images/I/41K-UVksfnL.jpg,4.7,"2,576 ratings"," 100% ORGANIC MAPLE SYRUP: Coomb’s Family Farms makes high quality 100% organic Vermont maple syrup perfect for pancakes, waffles, French toast, and any other recipe. Harvested from ancient sugar maple trees and hand crafted using traditional, artisanal health spout taps, our syrup is a pantry staple.  , GRADE A DARK COLOR AND ROBUST FLAVOR: With a deep hue and robust maple flavors, this versatile Grade A syrup is great as a topping and for cooking. Its strong maple flavor also lends itself to meat glazes, grill marinades, and on top of waffles, pancakes, and oatmeal.  , RESPONSIBLY SOURCED: Coombs Family Farms has produced organic, great tasting maple syrup for seven generations. We farm our own land, produce 100% organic maple syrup and package our own pure maple products. Coombs also sources maple syrup from over 3,000 small independent family farms that share our commitment to quality, environmental stewardship, and sustainable forest management.  , “A NATURAL FOOD”: This 100% organic Vermont maple syrup is harvested from pesticide free farms. Containing no artificial flavors, preservatives, or dyes, this Grade A syrup is non-GMO, gluten-free, nut-free, and Kosher Certified.  , PROTECT A WAY OF LIFE: At Coombs Family Farms, we support small family farms because we believe they provide more than high quality food. They help restore those lost feelings of connection and meaning by providing opportunities for us to play a better role in determining where the foods we eat come from, how our food is produced, and how it gets to our table. Small farms also strengthen rural economies, preserve important ecosystems, and protect a way of life that is increasingly under threat.  ","Brand: Coombs Family Farms,Flavor: Maple,Volume: 32 Fluid Ounces,Number of Items: 1,Weight: 3.26 Pounds",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Baking Syrups, Sugars & Sweeteners
            ,
                 Maple Syrup
             "
B07BQ4KKLR,"McCormick Salt & Pepper Grinder Variety Pack (Himalayan Pink Salt, Sea Salt, Black Peppercorn, Peppercorn Medley), 0.05 lb",https://m.media-amazon.com/images/I/41DCFvV65uL.jpg,4.8,"6,646 ratings"," Add flavor into burgers, seafood and more, with a simple twist of the grinder  , Black Pepper, Sea Salt, Peppercorn Medley and Himalayan Pink Salt Grinders  , Keep the salt and pepper grinder set on your table top for everyday seasoning  , Just twist to choose your grind settings to go from fine to coarse.  , Salt and pepper shakers make a great housewarming gift for everyone  ","Flavor: Pepper,Black Pepper,Brand: McCormick,Weight: 0.01 Pounds,Package Weight: 0.67 Kilograms",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Herbs, Spices & Seasonings
            ,
                Pepper & Peppercorns
            ,
                 Peppercorns
             "
B07GSHXC7W,Vegetable Soup Blend Dried Dehydrated Vegetable Flakes (2 Pounds),https://m.media-amazon.com/images/I/51OWXzDGGXL.jpg,4.5,738 ratings," Content: Dehydrated Onion, Carrot, Potato, Sweet Potatoes, Red And Green Bell Peppers And Parsley Flakes  , 2 Pounds BIG BAG - Share with Friends or Keep for Weeks!  , A convenient blend of veggies for making soups and other dishes calling for cooked veggies  , Make Your Own LOW SODIUM Soup EASILY! Packed in a Heat Sealed Poly Bag - Sealing in the Freshness!  , Originally Kosher then Repackaged in a non-Kosher Certified Facility  , 2 Pounds Of Our Premium Vegetable Soup Mix Makes Over 90 Cups Of Delicious Soup. Just Add 1 Cup Of Mix To 6 Cups Of Water, Simmer For 10-15 Minutes And Season To Taste. That's It. Use As A Complete Soup Mix Or Add To A Dish That Calls For A Variety Of Vegetables.  ","Brand: NatureJam,Item Form: Flakes,Number of Items: 1,Weight: 2 Pounds,Package Weight: 0.93 Kilograms"," Size: , 2 Pound (Pack of 1) ","
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Soups, Stocks & Broths
            ,
                 Vegetable Soups
             "
