asin,Title,MainImage,Rating,NumberOfReviews,Items,MoreInfo,unit,category
B07179XBP9,"Lay's Potato Chip Variety Pack, 1 Ounce (Pack of 40)",https://m.media-amazon.com/images/I/61vs7ucqGKL.jpg,4.6,"55,983 ratings"," Variety pack of Lay's potato chips favorites with classic flavors in one convenient package  , With 4 different varieties, there's sure to be something everyone will love  , 40 count pack featuring 10 of each of these Lay's potato chips favorites in 1 oz bags - Classic, Barbecue, Sour Cream and Onion, and Salt and Vinegar  , These much loved treats are fun to enjoy at lunch, as an after-school snack, or party refreshment  , Easy to carry, easy to store, and easy to pack  , Our snacks have a short shelf life (60-90 days) so most of our packages only show the month & day of expiration (e.g. “Aug 16” means August 16th, not August 2016). For optimum flavor and freshness, we recommend the snack be consumed by the date on the package.  ","Brand: Lay's,Flavor: Variety Pack,Weight: 40 Ounces,Number of Items: 40,Size: 1 Ounce (Pack of 40)",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Chips & Crisps
            ,
                 Potato
             "
B01N39RV0A,"Black Forest, Snacks Juicy Bursts 0.8 40 Count, Mixed Fruit, 32 Ounce",https://m.media-amazon.com/images/I/51HKyHM6ZAL.jpg,4.7,"31,644 ratings"," SO JUICY. SO GOOD: Add a burst of mixed fruit flavor to your day with Black Forest Juicy Bursts: fruit snacks with a liquid center (plus vitamin C!), the perfect sweet treat to add to your kid's lunch box, share with friends, or just treat yourself.  , BLACK FOREST FRUIT SNACKS: Black Forest fruit snacks are for kids & kids at heart. Our soft & gummy fruit-flavored candy is gluten free, fat free, & full of authentic juicy flavor you'll feel good about. Go ahead, treat yourself.  , GET YOUR SNACK ON: From gummy bears to gummy worms, fruit snacks to sour heads, Black Forest candy is the perfect sweet snack to add flavor to your day. Real fruit flavors, naturally juicy.  , TASTE THE DIFFERENCE: What makes Black Forest gummies, fruit chews, & fruit snacks so good? Our classic & organic snacks have real fruit juice, so each gummy bear, chew, or fruit snack is soft, chewy, & fruity.  , SO JUICY: You'll love the juicy goodness of Black Forest gummies and fruit snacks. Add a moment of fun to your day with Black Forest candy, whether you treat yourself or share with others.  ","Flavor: Mixed Fruit,Item Form: Liquid,Brand: Black Forest,Number of Pieces: 40,Weight: 0.2 Pounds",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Gummy Candy
             "
B071DVC5TC,"Welch's Fruit Snacks, Berries 'n Cherries, Gluten Free, Bulk Pack, 0.9 Ounce - 40 Count (Pack of 1)",https://m.media-amazon.com/images/I/51+dW24Rg1L.jpg,4.8,"23,676 ratings"," Includes (40) 0.9 oz single serving bags  , Delicious fruit snacks where fruit is the 1st Ingredient  , Excellent source of Vitamins A, C & E  , Gluten free, fat free & preservative free  , Perfect tasty snack for school lunches, sporting games, the office and more  ","Flavor: Berries 'n Cherries,Brand: Welch's,Number of Pieces: 40,Weight: 2.3 Pounds,Allergen Information: Gluten Free",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                 Fruit Leather
             "
B004HZFASG,"Wonderful Pistachios, No Shells, Roasted & Salted Nuts, 24 Ounce Resealable Bag, Good Source of Protein, Gluten Free, On the Go Snack",https://m.media-amazon.com/images/I/51yPvpfq2cL.jpg,4.7,"24,529 ratings"," SIZE: This 24 ounce re-sealable bag is the perfect snack to have around the house and for on-the-go. Pistachios are gluten free, nutritious, and protein powered.  , FLAVOR: Roasted & Salted. While these shelled pistachios have the same delicious taste, they are much less work for you. Additionally, with no shell, these pistachios are perfect for cooking, great for snacking, and a tasty, crunchy salad topper.  , CALIFORNIA GROWN: Wonderful Pistachios grows all of its pistachios in California orchards, where we carefully tend and harvest using the latest in sustainable practices.  , HEALTHY SNACKING: A good source of protein, pistachios are a healthy addition to any gathering - from party to picnic. They are a healthy choice for snacking on-the-go and around the house. See nutrition information for fat content  , Gluten Free, Non-GMO Project Verified, contains tree nuts (pistachios), has 130 mg of phosphorus and 280 mg of potassium per serving, and contains only pistachios and sea salt.  ","Flavor: Roasted and Salted,Brand: Wonderful Pistachios,Allergen Information: Gluten Free,Weight: 24 Ounces,Item Form: Roasted",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Nuts & Seeds
            ,
                 Pistachios
             "
B07TN3C2HD,"Cheez-It Cheese Crackers, Baked Snack Crackers, Office And Kids Snacks, Original, 40oz Case (40 Pouches)",https://m.media-amazon.com/images/I/41vZm99OYBS.jpg,4.8,"17,324 ratings"," Light and crispy bite-size snack crackers made with real cheese and a dusting of salt  , Our cheesy baked crackers are individually packed and make a delicious anytime snack  , Made with 100% real cheese aged for a bold taste; A classic, family-favorite snack that’s perfect for kids and adults  , A travel-ready food; Makes a tasty bite at home or on the go; Ideal for gatherings, parties, snack spreads, and more; Stow in lunchboxes, totes, and backpacks  , Bulk snack box includes 40, 1-ounce individually wrapped bags of ready-to-eat snack crackers; Packaged for freshness and great taste  ","Flavor: Original,Brand: Cheez-It,Weight: 1 Ounces,Allergen Information: Barley Free,Package Information: Box,Bag",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Crackers
            ,
                 Assortments & Samplers
             "
B00FFJ2GRG,"PLANTERS Deluxe Lightly Salted Whole Cashews, 1lb 2.25oz . Resealable Canister - Lightly Salted Cashews & Lightly Salted Nuts - Nutrient Dense Snacks for Adults & Kids - Vegan Snacks, Kosher",https://m.media-amazon.com/images/I/41HsYFnUOBL.jpg,4.8,"68,435 ratings"," SALTED CASHEWS: Roasted lightly salted cashews have rich, buttery flavor and a satisfying crunch  , PLANTERS CASHEWS: This 18.25 ounce resealable jar of PLANTERS Deluxe Lightly Salted Whole Cashews contains about eighteen 1 ounce servings and features a resealable lid designed to lock in long-lasting freshness  , ROASTED CASHEWS: These whole cashews are roasted in peanut oil for a satisfying crispy texture. State of Readiness: Ready to Eat  , REDUCED SODIUM SNACKS: Contains 50 milligrams of sodium per 1 ounce serving compared to 100 milligrams in PLANTERS Deluxe Whole Cashews—an energizing and delicious snack for those reducing sodium in their diet  , KOSHER CERTIFIED LIGHTLY SALTED CASHEWS: PLANTERS cashews are great tasting nutrient dense snacks for those keeping Kosher  , PLANTERS CASHEWS: Nuttin' beats PLANTERS lightly salted cashews. They're nutrient dense snacks for adults or kids, are perfect for enjoying as a game day snack, movie snacks, after school snacks, or as a holiday gift or stocking stuffer  , PLANTERS SNACKS, PLANTERS PEANUTS AND PLANTERS NUTS: Whether you want to satisfy a salty craving, PLANTERS (and Mr. Peanut) has you covered  ","Flavor: Lightly Salted,Brand: Planters,Allergen Information: Peanuts, Tree Nuts, Almonds, Walnut, Cashews, Pecan Nuts, Hazelnuts, Pistachio Nuts, Macadamia Nuts, Brazil Nuts,Weight:  ,Item Form:  ",,"
                Grocery & Gourmet Food
            ,
                Pantry Staples
            ,
                Cooking & Baking
            ,
                Nuts & Seeds
            ,
                 Cashews
             "
B08D7JM1X2,"Popcorners Snacks Gluten Free Chips, 20 Count (Pack of 1)(Assortment may Vary)",https://m.media-amazon.com/images/I/61kVImpz+rL.jpg,4.5,"33,209 ratings"," For a limited time you may receive the old or new assortment of this variety pack  , 20 Pack of 1 oz PopCorners variety snack pack chips: (3) White Cheddar, (4) Kettle Corn, (4) Sea Salt, (3) Spicy Queso, (3) Sweet Chili, (3) Sour Cream & Onion single serve snack chips  , Wholesome snacks: popcorner's delicious popped corn snacks are drizzled in sunflower oil with a pinch of sea salt, our chips are never fried. No gluten, no nuts. Just simple ingredients for better flavor  , PopCorners delicious popped corn snacks are never fried and gluten free  , Convenient on-the-go snacks great for a busy lifestyle, at work, kids' lunch snacks and much more  ","Brand: Popcorners,Flavor: Popcorners Variety Pack,Weight: 1 Ounces,Number of Items: 20,Size: 1 Ounce (Pack of 20)",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Chips & Crisps
            ,
                 Corn
             "
B0785RNKZS,"Pringles Potato Crisps Chips, Snack Stacks, Lunch Snacks, Office and Kids Snacks, Variety Pack (27 Cups)",https://m.media-amazon.com/images/I/413Xw3rNj8L.jpg,4.7,"63,507 ratings"," Enjoy snacking moments everywhere with the outrageously delicious flavor and fun shape of these ready-to-go Pringles Potato Crisps in all your favorite flavors  , Convenient cups of stackable potato crisp varieties seasoned to savory perfection from edge to edge  , Original is Kosher Pareve; Sour Cream and Onion, Cheddar Cheese, BBQ, Pizza, and Cheddar and Sour Cream are Kosher Dairy; Variety Pack contains milk and wheat ingredients  , Pack into a school lunch box, backpack or tote bag  , Variety pack includes 27 cups of ready to eat potato crisps; Original (six), Sour Cream and Onion (six), Cheddar Cheese (six), BBQ (three), Cheddar and Sour Cream (three), and Pizza (three)  ","Brand: Pringles,Flavor: Lipton Enveloped Hot Tea Bags, Pack of 6,Weight: 27 Ounces,Number of Items: 1,Size: 27 Piece Assortment",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Snack Foods
            ,
                Chips & Crisps
            ,
                 Potato
             "
B06XGNL1RX,"Ring Pop Individually Wrapped Bulk Lollipop Variety Party Pack – 20 Count Lollipop Halloween Suckers W/ Assorted Fruity Flavors - Fun Candy For Halloween Candy Bowls, Parties & Trick Or Treating Bags",https://m.media-amazon.com/images/I/61QH5HFV7wL.jpg,4.8,"62,507 ratings"," HALLOWEEN CANDY: Ring Pop lollipops make delicious gifts for kids -- add to your Halloween candy bowls for trick or treaters or use as Halloween decorations!  , HALLOWEEN CANDY GEMS: Unwrap the Halloween fun with our iconic wearable hard candy lollipop ring with an enormous eye-catching candy gem, perfect Halloween candy to hand out to trick-or-treaters, to take with you to Halloween parties, or to add to Halloween gift treat bags!  , BULK LOLLIPOPS: 20 individually-wrapped shelf stable Ring Pop lollipops per bag make them great pantry items.  , ASSORTED CANDY FLAVORS: Contains a selection of 5 mouth-watering fruity flavors: Cherry, Strawberry, Watermelon, Twisted Cherry Berry, and Blue Raspberry so everybody can have their favorite!  , SHELF-STABLE TREATS: Perfect to hand out as Halloween candy or to take with you to share with family and friends at a special gathering because hangouts are way more fun with Ring Pop!  ","Brand: Ring Pop,Flavor: Mixed-Fruit,Item Form: Lollipop,Unit Count: 20 Count,Color: Assorted",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Suckers & Lollipops
             "
B00JZLX390,"ALTOIDS Arctic Peppermint Mints, 1.2-Ounce Tin (Pack of 8)",https://m.media-amazon.com/images/I/51D1MHHkOOL.jpg,4.8,"14,618 ratings"," Contains eight (8) 1.2-ounce tins of ALTOIDS Arctic Peppermint  , Freshen breath with curiously cool sugarfree mints  , Great for keeping in your bag, car or at your desk  , ALTOIDS Arctic Mints are packed with iconic peppermint flavor  , Each stand-up tin makes a great addition to gift baskets, stockings and more  ","Brand: Altoids,Flavor: Peppermint,Item Form: TABLET,Material Feature: No Added Sugar,Material Type Free: Gelatine Free",,"
                Grocery & Gourmet Food
            ,
                Snacks & Sweets
            ,
                Candy & Chocolate
            ,
                 Mints
             "
